fid	iid	value
MY2585	MY2585	-0.0335930754319361
MY2693	MY2693	-0.050810239214236
MY2713	MY2713	-0.0416288244080996
MY2741	MY2741	
MY518	MY518	-0.133457268072497
MY679	MY679	
MY772	MY772	-0.0148793532333877
MY795	MY795	-0.0551743408754578
MY920	MY920	
N2	N2	
NIC1	NIC1	
NIC1049	NIC1049	-0.0438198558324461
NIC1107	NIC1107	
NIC1119	NIC1119	-0.00215979376710748
NIC166	NIC166	
NIC1779	NIC1779	
NIC1780	NIC1780	-0.0435259415801266
NIC1783	NIC1783	0.0109222360502459
NIC1785	NIC1785	-0.00752040598672862
NIC1786	NIC1786	0.0106818547264083
NIC1787	NIC1787	0.012069419184483
NIC1788	NIC1788	-0.0359947997283918
NIC1789	NIC1789	0.0343131415162448
NIC1794	NIC1794	-0.0436785701051145
NIC1796	NIC1796	-0.00490457377856277
NIC1798	NIC1798	-0.016197516363913
NIC1799	NIC1799	
NIC1801	NIC1801	
NIC1802	NIC1802	
NIC1805	NIC1805	
NIC1806	NIC1806	
NIC1808	NIC1808	
NIC1809	NIC1809	
NIC1810	NIC1810	
NIC1811	NIC1811	
NIC1812	NIC1812	
NIC1832	NIC1832	-0.00638083961154628
NIC195	NIC195	-0.0302751786760001
NIC199	NIC199	
NIC2	NIC2	-0.0457952694793857
NIC207	NIC207	
NIC231	NIC231	-0.0472351043071809
NIC236	NIC236	
NIC242	NIC242	-0.0266020614472745
NIC251	NIC251	-0.0373617242104349
NIC252	NIC252	
NIC255	NIC255	
NIC256	NIC256	-0.00515207394368405
NIC258	NIC258	-0.0141085003644145
NIC259	NIC259	
NIC260	NIC260	
NIC261	NIC261	-0.0282197809771781
NIC262	NIC262	-0.0150650954685315
NIC265	NIC265	-0.108032901025208
NIC266	NIC266	-0.0378633070005224
NIC267	NIC267	-0.0451349014777593
NIC268	NIC268	0.0610270768391517
NIC269	NIC269	0.0589857333618046
NIC271	NIC271	0.0197199386807757
NIC272	NIC272	-0.0304044835248226
NIC274	NIC274	
NIC275	NIC275	-0.0362853774913153
NIC276	NIC276	
NIC277	NIC277	-0.0111941530187629
NIC3	NIC3	
NIC501	NIC501	-0.0348701638671944
NIC511	NIC511	-0.119663501354996
NIC513	NIC513	0.0360292229201362
NIC514	NIC514	-0.0129769277874523
NIC515	NIC515	-0.0115945775720571
NIC522	NIC522	
NIC523	NIC523	
NIC526	NIC526	-0.00870573392274013
NIC527	NIC527	-0.0735866042786989
NIC528	NIC528	
NIC529	NIC529	-0.0476081380035975
PB303	PB303	-0.0317674729753735
PS2025	PS2025	
PX179	PX179	-0.101852622121328
QG2075	QG2075	
QG2811	QG2811	-0.0329034390353374
QG2813	QG2813	
QG2818	QG2818	
QG2823	QG2823	-0.0553171463279642
QG2824	QG2824	
QG2825	QG2825	
QG2827	QG2827	
QG2828	QG2828	-0.0526577594050048
QG2832	QG2832	0.0904208581090872
QG2835	QG2835	-0.106100443648894
QG2836	QG2836	-0.0211992071906941
QG2837	QG2837	
QG2838	QG2838	-0.0364533707616277
QG2841	QG2841	0.0285021768686272
QG2843	QG2843	
QG2846	QG2846	0.0128725902095664
QG2850	QG2850	-0.116032845171927
QG2854	QG2854	
QG2855	QG2855	
QG2857	QG2857	-0.0472546590363829
QG2873	QG2873	
QG2874	QG2874	-0.0512063154616364
QG2875	QG2875	-0.00984190743707855
QG2877	QG2877	
QG2932	QG2932	-0.0462248391420577
QG536	QG536	
QG556	QG556	-0.0388927152499425
QG557	QG557	
QW947	QW947	-0.113860921023235
QX1211	QX1211	
QX1212	QX1212	-0.0319066093182809
QX1233	QX1233	
QX1791	QX1791	-0.0247153333756212
QX1792	QX1792	0.0054688668351159
QX1793	QX1793	-0.0204981732753158
QX1794	QX1794	-0.024651634106634
RC301	RC301	-0.0258099460025997
TWN2530	TWN2530	-0.0236822736811528
TWN2542	TWN2542	
WN2001	WN2001	
WN2002	WN2002	-0.0326837101426318
WN2033	WN2033	
WN2050	WN2050	0.0760903697350461
WN2063	WN2063	0.0544138283102075
WN2064	WN2064	
WN2066	WN2066	-0.0403708998912689
WN2068	WN2068	
WN2069	WN2069	-0.0759083162875144
XZ1513	XZ1513	0.0130477055182481
XZ1514	XZ1514	-0.00634865920661738
XZ1515	XZ1515	
XZ1516	XZ1516	-0.00255648914169114
XZ1672	XZ1672	
XZ1734	XZ1734	0.0709398627555957
XZ1735	XZ1735	-0.0090852983211889
XZ1756	XZ1756	-0.028129561787689
XZ2018	XZ2018	-0.0456554477669044
XZ2019	XZ2019	0.0262433693898142
XZ2020	XZ2020	-0.0371755859295596
XZ2211	XZ2211	0.016161659424834
ECA1187	ECA1187	
ECA1192	ECA1192	
ECA1196	ECA1196	
ECA1200	ECA1200	
ECA1202	ECA1202	
ECA1206	ECA1206	
ECA1252	ECA1252	
ECA1316	ECA1316	
ECA1409	ECA1409	
ECA1693	ECA1693	
ECA1713	ECA1713	
ECA1717	ECA1717	
ECA1725	ECA1725	
ECA1751	ECA1751	
ECA1757	ECA1757	
ECA1761	ECA1761	
ECA1769	ECA1769	
ECA1793	ECA1793	-0.00174884242286231
ECA1805	ECA1805	
ECA1807	ECA1807	
ECA1815	ECA1815	
ECA1821	ECA1821	
ECA1825	ECA1825	
ECA1843	ECA1843	
ECA1851	ECA1851	
ECA1853	ECA1853	
ECA1875	ECA1875	
ECA1885	ECA1885	
ECA1887	ECA1887	
ECA1889	ECA1889	
ECA1891	ECA1891	
ECA1901	ECA1901	
ECA1919	ECA1919	
ECA1925	ECA1925	
ECA1937	ECA1937	
ECA1939	ECA1939	
ECA1943	ECA1943	
ECA1969	ECA1969	
ECA1977	ECA1977	
ECA1997	ECA1997	
ECA2041	ECA2041	
ECA2043	ECA2043	
ECA2073	ECA2073	
ECA2081	ECA2081	
ECA2091	ECA2091	
ECA2109	ECA2109	
ECA2111	ECA2111	
ECA2119	ECA2119	
ECA2151	ECA2151	
ECA2155	ECA2155	
ECA2159	ECA2159	
ECA2183	ECA2183	
ECA2187	ECA2187	
ECA2191	ECA2191	
ECA2195	ECA2195	
ECA2199	ECA2199	
ECA2251	ECA2251	
ECA2281	ECA2281	
ECA2291	ECA2291	
ECA2332	ECA2332	
ECA2334	ECA2334	
ECA2336	ECA2336	
ECA2344	ECA2344	
ECA2350	ECA2350	
ECA2360	ECA2360	
ECA2367	ECA2367	
ECA2377	ECA2377	
ECA2417	ECA2417	
ECA2437	ECA2437	
ECA2443	ECA2443	
ECA2452	ECA2452	
ECA2467	ECA2467	
ECA2473	ECA2473	
ECA2475	ECA2475	
ECA2481	ECA2481	
ECA2482	ECA2482	
ECA2489	ECA2489	
ECA2522	ECA2522	
ECA2523	ECA2523	
ECA2527	ECA2527	
ECA2529	ECA2529	
ECA2533	ECA2533	
ECA2536	ECA2536	
ECA2546	ECA2546	
ECA2549	ECA2549	
ECA2551	ECA2551	
ECA2554	ECA2554	
ECA2555	ECA2555	
ECA2559	ECA2559	
ECA2560	ECA2560	
ECA2561	ECA2561	
ECA2565	ECA2565	
ECA2568	ECA2568	
ECA2581	ECA2581	
ECA2583	ECA2583	
ECA2584	ECA2584	
ECA2594	ECA2594	
ECA2595	ECA2595	
ECA2601	ECA2601	
ECA2602	ECA2602	
ECA2603	ECA2603	
ECA2607	ECA2607	
ECA2609	ECA2609	
ECA2612	ECA2612	
ECA2615	ECA2615	
ECA2641	ECA2641	
ECA2648	ECA2648	-0.0197325640323548
ECA2656	ECA2656	
ECA2659	ECA2659	
ECA2660	ECA2660	
ECA2672	ECA2672	-0.0448172350922203
ECA2676	ECA2676	
JR4305	JR4305	
JU3795	JU3795	
JU4047	JU4047	
JU4073	JU4073	
JU4082	JU4082	
JU4098	JU4098	
NIC1782	NIC1782	
NIC1790	NIC1790	
NIC1791	NIC1791	
NIC1792	NIC1792	
QG4003	QG4003	
QG4004	QG4004	
QG4006	QG4006	
QG4008	QG4008	
QG4010	QG4010	
QG4012	QG4012	
QG4015	QG4015	
QG4017	QG4017	
QG4018	QG4018	
QG4021	QG4021	
QG4080	QG4080	
QG4103	QG4103	
QG4135	QG4135	
QG4138	QG4138	
QG4151	QG4151	
QG4193	QG4193	
QG4226	QG4226	
QG4228	QG4228	
WN2082	WN2082	
WN2086	WN2086	
