ref_size	fraction	strain	leak	nn_pool_ibs	nn_pool
540	1	CX11314	0	0.98209	XZ1515
540	1	CX11315	0	0.97364	CX11264
540	1	ECA1069	0	0.973085	N2
540	1	ECA1185	0	0.91297	ECA363
540	1	ECA1187	0	0.91416	ECA363
540	1	ECA1192	0	0.91231	ECA363
540	1	ECA1193	0	0.91637	ECA363
540	1	ECA1195	0	0.916385	ECA363
540	1	ECA1200	0	0.939775	XZ1513
540	1	ECA1206	0	0.914925	ECA396
540	1	ECA1208	0	0.92196	ECA396
540	1	ECA1212	0	0.92458	ECA396
540	1	ECA1216	0	0.925585	ECA396
540	1	ECA1232	0	0.909925	ECA363
540	1	ECA1238	0	0.91488	ECA363
540	1	ECA1240	0	0.911355	ECA363
540	1	ECA1242	0	0.91087	ECA363
540	1	ECA1243	0	0.94736	DL238
540	1	ECA1247	0	0.91735	ECA396
540	1	ECA1251	0	0.917485	ECA363
540	1	ECA1252	0	0.908125	ECA363
540	1	ECA1253	0	0.907235	ECA363
540	1	ECA1257	0	0.94603	XZ1513
540	1	ECA1260	0	0.937155	DL238
540	1	ECA1269	0	0.94206	DL238
540	1	ECA1271	0	0.9494	DL238
540	1	ECA1276	0	0.93888	ECA396
540	1	ECA1278	0	0.93789	ECA396
540	1	ECA1283	0	0.92637	ECA191
540	1	ECA1286	0	0.924145	ECA396
540	1	ECA1289	0	0.923965	ECA396
540	1	ECA1293	0	0.925135	ECA191
540	1	ECA1316	0	0.978345	N2
540	1	ECA1409	0	0.884265	ECA396
540	1	ECA1493	0	0.883675	XZ1516
540	1	ECA1725	0	0.875205	XZ1514
540	1	ECA1793	0	0.871685	XZ1514
540	1	ECA1807	0	0.94726	DL238
540	1	ECA1821	0	0.937925	QX1211
540	1	ECA1843	0	0.922745	ECA363
540	1	ECA1851	0	0.82427	XZ1514
540	1	ECA1853	0	0.940975	XZ1515
540	1	ECA1901	0	0.95365	QX1794
540	1	ECA1919	0	0.93339	ECA396
540	1	ECA1925	0	0.808415	ECA36
540	1	ECA1937	0	0.94102	DL238
540	1	ECA1939	0	0.9542	DL238
540	1	ECA1943	0	0.94969	DL238
540	1	ECA1969	0	0.92828	ECA396
540	1	ECA2043	0	0.94954	QX1211
540	1	ECA2073	0	0.928285	ECA396
540	1	ECA2151	0	0.83867	N2
540	1	ECA2155	0	0.8746	XZ1514
540	1	ECA2159	0	0.87582	XZ1514
540	1	ECA2281	0	0.837785	XZ1514
540	1	ECA2291	0	0.92227	ECA36
540	1	ECA2336	0	0.869355	ECA36
540	1	ECA2344	0	0.946015	QX1794
540	1	ECA2377	0	0.94501	DL238
540	1	ECA2443	0	0.923515	ECA396
540	1	ECA2473	0	0.923705	ECA396
540	1	ECA2475	0	0.937005	ECA396
540	1	ECA2481	0	0.94553	DL238
540	1	ECA2489	0	0.92223	ECA396
540	1	ECA2522	0	0.95677	N2
540	1	ECA2529	0	0.970155	N2
540	1	ECA2536	0	0.96984	N2
540	1	ECA2546	0	0.97103	N2
540	1	ECA2551	0	0.964405	N2
540	1	ECA2559	0	0.978055	N2
540	1	ECA2561	0	0.926495	N2
540	1	ECA2581	0	0.902135	ECA36
540	1	ECA2583	0	0.9669	N2
540	1	ECA2584	0	0.961115	N2
540	1	ECA2595	0	0.916125	N2
540	1	ECA2601	0	0.92181	N2
540	1	ECA2603	0	0.982595	N2
540	1	ECA2609	0	0.9661	N2
540	1	ECA2612	0	0.934775	JU561
540	1	ECA2615	0	0.98317	N2
540	1	ECA2641	0	0.97055	N2
540	1	ECA2648	0	0.975435	N2
540	1	ECA2656	0	0.977585	N2
540	1	ECA2659	0	0.936595	N2
540	1	ECA2660	0	0.92188	N2
540	1	ECA2672	0	0.96331	N2
540	1	ECA2676	0	0.962045	N2
540	1	ECA347	0	0.907005	ECA363
540	1	ECA349	0	0.968835	XZ1515
540	1	ECA593	0	0.935805	N2
540	1	ECA640	0	0.96389	XZ1515
540	1	ECA701	0	0.838295	N2
540	1	ECA710	0	0.94504	XZ1513
540	1	ECA722	0	0.940555	ECA191
540	1	ECA723	0	0.939595	ECA191
540	1	ECA724	0	0.89682	ECA363
540	1	ECA732	0	0.946495	DL238
540	1	ECA733	0	0.94576	DL238
540	1	ECA740	0	0.932705	QX1211
540	1	ECA741	0	0.930595	ECA363
540	1	ECA742	0	0.93377	ECA36
540	1	ECA743	0	0.935355	QX1794
540	1	ECA745	0	0.926505	ECA191
540	1	ECA746	0	0.92047	ECA191
540	1	ECA760	0	0.94367	XZ1515
540	1	ECA777	0	0.94402	XZ1515
540	1	ECA812	0	0.938905	XZ1515
540	1	ECA923	0	0.95591	N2
540	1	ED3005	0	0.977705	MY18
540	1	ED3046	0	0.99851	ED3049
540	1	ED3048	0	0.980755	N2
540	1	EG4347	0	0.99097	N2
540	1	JT11398	0	0.97966	N2
540	1	JU1172	0	0.975715	N2
540	1	JU1200	0	0.996335	N2
540	1	JU1242	0	0.96763	DL200
540	1	JU1249	0	0.990955	N2
540	1	JU1440	0	0.98042	N2
540	1	JU1568	0	0.991305	N2
540	1	JU1586	0	0.990035	N2
540	1	JU1666	0	0.96654	DL200
540	1	JU1792	0	0.97968	JU2592
540	1	JU1808	0	0.975615	N2
540	1	JU1934	0	0.969035	N2
540	1	JU2016	0	0.98043	N2
540	1	JU2131	0	0.96373	DL200
540	1	JU2141	0	0.970605	N2
540	1	JU2250	0	0.965995	DL200
540	1	JU2257	0	0.98721	N2
540	1	JU2478	0	0.97684	N2
540	1	JU2513	0	0.973925	N2
540	1	JU2522	0	0.96372	EG4724
540	1	JU2570	0	0.96894	DL200
540	1	JU2572	0	0.98009	N2
540	1	JU2578	0	0.974585	N2
540	1	JU2587	0	0.963665	N2
540	1	JU2600	0	0.96658	JU1581
540	1	JU2610	0	0.96661	JU1581
540	1	JU2800	0	0.972015	JU1896
540	1	JU2825	0	0.973765	N2
540	1	JU2853	0	0.985	N2
540	1	JU2866	0	0.96742	N2
540	1	JU2907	0	0.990805	N2
540	1	JU310	0	0.98043	NIC3
540	1	JU3125	0	0.97338	N2
540	1	JU3127	0	0.970495	N2
540	1	JU3128	0	0.978665	N2
540	1	JU3132	0	0.967355	N2
540	1	JU3134	0	0.97197	N2
540	1	JU3140	0	0.97103	DL200
540	1	JU3141	0	0.981605	JU2592
540	1	JU3167	0	0.93561	GXW1
540	1	JU323	0	0.975335	N2
540	1	JU3291	0	0.968885	JU1581
540	1	JU360	0	0.966905	N2
540	1	JU3795	0	0.969185	N2
540	1	JU393	0	0.964765	N2
540	1	JU394	0	0.980085	N2
540	1	JU397	0	0.9694	JU2592
540	1	JU406	0	0.983945	N2
540	1	JU4082	0	0.996645	MY23
540	1	JU440	0	0.98374	N2
540	1	JU751	0	0.971015	JU2593
540	1	JU778	0	0.960735	LKC34
540	1	JU792	0	0.96649	DL200
540	1	MY2530	0	0.98891	N2
540	1	MY2535	0	0.98224	N2
540	1	MY2573	0	0.977045	NIC3
540	1	MY2693	0	0.97541	MY2741
540	1	MY2713	0	0.971185	N2
540	1	MY920	0	0.98136	ED3017
540	1	NIC1049	0	0.978825	N2
540	1	NIC1107	0	0.982845	N2
540	1	NIC1119	0	0.96437	JU2464
540	1	NIC166	0	0.971175	N2
540	1	NIC1779	0	0.97261	N2
540	1	NIC1782	0	0.939675	NIC527
540	1	NIC1785	0	0.94411	N2
540	1	NIC1786	0	0.93831	N2
540	1	NIC1787	0	0.96111	NIC268
540	1	NIC1789	0	0.932365	JU258
540	1	NIC1794	0	0.941095	NIC527
540	1	NIC1798	0	0.929595	N2
540	1	NIC1799	0	0.9397	N2
540	1	NIC1801	0	0.93318	N2
540	1	NIC1805	0	0.950355	LKC34
540	1	NIC1811	0	0.950345	LKC34
540	1	NIC242	0	0.977655	N2
540	1	NIC255	0	0.984795	N2
540	1	NIC272	0	0.96597	LKC34
540	1	NIC277	0	0.977375	N2
540	1	NIC511	0	0.97262	N2
540	1	NIC513	0	0.97067	LKC34
540	1	NIC514	0	0.970215	LKC34
540	1	NIC529	0	0.97829	N2
540	1	PB303	0	0.9787	N2
540	1	PX179	0	0.98793	N2
540	1	QG2811	0	0.975615	N2
540	1	QG2813	0	0.974865	N2
540	1	QG2818	0	0.9828	N2
540	1	QG2824	0	0.97691	CX11271
540	1	QG2827	0	0.958255	JU561
540	1	QG2828	0	0.96411	N2
540	1	QG2832	0	0.968985	JU774
540	1	QG2835	0	0.9728	JU774
540	1	QG2838	0	0.962295	N2
540	1	QG2843	0	0.98216	N2
540	1	QG2850	0	0.97295	ED3077
540	1	QG2854	0	0.96176	ED3077
540	1	QG2855	0	0.960145	ED3077
540	1	QG2857	0	0.961745	ED3077
540	1	QG2873	0	0.960045	ED3077
540	1	QG2874	0	0.960475	ED3077
540	1	QG2875	0	0.963005	N2
540	1	QG2877	0	0.95834	N2
540	1	QG2932	0	0.971125	N2
540	1	QG4004	0	0.976475	N2
540	1	QG4006	0	0.98485	N2
540	1	QG4010	0	0.972305	N2
540	1	QG4012	0	0.954155	JU774
540	1	QG4015	0	0.965475	N2
540	1	QG4017	0	0.97596	N2
540	1	QG4018	0	0.975115	N2
540	1	QG4021	0	0.96904	N2
540	1	QG4103	0	0.956065	N2
540	1	QG4135	0	0.949065	N2
540	1	QG4138	0	0.97068	LKC34
540	1	QG4151	0	0.97069	N2
540	1	QG4193	0	0.973175	LKC34
540	1	QG4226	0	0.96232	N2
540	1	QG4228	0	0.95489	N2
540	1	QG536	0	0.971705	N2
540	1	QX1233	0	0.968475	N2
540	1	TWN2542	0	0.97545	MY18
540	1	WN2033	0	0.970465	N2
540	1	WN2063	0	0.97186	N2
540	1	WN2066	0	0.976845	N2
540	1	WN2068	0	0.980605	N2
540	1	WN2069	0	0.98802	N2
540	1	WN2086	0	0.97891	N2
540	1	XZ1734	0	0.96229	JU2619
540	1	XZ2018	0	0.984415	N2
