Mb	R2
9.730158	0.000827832
9.730483	0.00658241
9.730497	0.000412116
9.730569	0.00209705
9.730638	0.00658241
9.730665	0.000412116
9.730749	0.0152421
9.730786	0.000412116
9.730792	0.00658241
9.7309	0.00658241
9.730996	0.00252765
9.731019	0.086113
9.731127	0.000827832
9.73115	0.000827832
9.731314	0.000827832
9.731455	0.000412116
9.731517	0.00124719
9.731518	0.00124719
9.731812	0.00124719
9.73186	0.00125865
9.732005	0.0132666
9.732011	0.00203832
9.732058	0.000415887
9.732145	0.000835422
9.732175	0.000827832
9.732407	0.000470013
9.732553	0.000412116
9.732592	0.00658241
9.732687	0.000412116
9.732761	0.000827832
9.73303	0.000827832
9.733084	0.00658241
9.73311	0.00209705
9.733204	0.00124719
9.73322	0.00658241
9.733285	0.000412116
9.733391	0.000827832
9.733414	0.000412116
9.73351	0.0340117
9.733639	0.00124719
9.733668	0.00209705
9.733715	0.013608
9.733741	0.000412116
9.733877	0.000827832
9.733884	0.00658241
9.733885	0.000412116
9.73396	0.000412116
9.734	0.00658241
9.73406	0.000412116
9.734199	0.000412116
9.734244	0.000412116
9.734293	0.000412116
9.73444	0.00209705
9.734461	0.0145239
9.734512	0.000412116
9.734599	0.000412116
9.734634	0.138816
9.734653	0.00167025
9.734664	0.000412116
9.734699	0.00611527
9.734709	0.013608
9.734731	0.00124719
9.734741	0.00340042
9.734748	0.000412116
9.73477	0.000412116
9.734829	0.000412116
9.734926	0.015392
9.734935	0.0217575
9.734947	0.000412116
9.734991	0.013608
9.735071	0.00384271
9.735162	0.0399765
9.735382	0.00124719
9.735487	0.013608
9.735504	0.00252765
9.735547	0.000412116
9.735585	0.0152421
9.735593	0.00627275
9.735659	0.000415887
9.735768	0.000412116
9.735896	0.000412116
9.735898	0.138816
9.73594	0.000412116
9.736373	0.000412116
9.736408	0.000412116
9.73653	0.0152421
9.73661	0.00209705
9.736648	0.00209705
9.736704	0.0145239
9.736705	0.0145239
9.736746	0.00124719
9.73685	0.000412116
9.736896	0.0152421
9.736912	0.00428899
9.736997	0.003432
9.737022	0.000827832
9.737023	0.0152421
9.737154	0.000827832
9.737158	0.138816
9.737226	0.000827832
9.737311	0.00428899
9.737338	0.000412116
9.737678	0.000412116
9.737683	0.000412116
9.737767	0.000827832
9.738103	0.000412116
9.738114	0.000827832
9.738121	0.00658241
9.73829	0.000412116
9.738344	0.000412116
9.738375	0.000412116
9.738515	0.00658241
9.73855	0.0145239
9.738666	0.000412116
9.738709	0.000827832
9.738893	0.00209705
9.739033	0.000412116
9.73919	0.010042
9.739229	0.00225118
9.73937	0.000412116
9.739417	0.013608
9.739426	0.000412116
9.739498	0.000827832
9.739516	0.000412116
9.739597	0.000431499
9.739628	0.00043554
9.739653	0.000835422
9.739759	0.00658241
9.739873	0.00041971
9.739883	0.000843117
9.740023	0.000415887
9.740047	0.0141382
9.740155	0.00658241
9.740156	0.00658241
9.740522	0.000412116
9.740622	0.0458696
9.740727	0.000412116
9.74086	0.086113
9.74127	0.0152421
9.741413	0.00249021
9.741423	0.000827832
9.741429	0.000412116
9.741574	0.00428899
9.741621	0.000412116
9.741667	0.000412116
9.741785	0.000412116
9.741854	0.00340042
9.741903	0.00658241
9.74209	0.00124719
9.742317	0.00658241
9.742459	0.000412116
9.742633	0.000827832
9.742672	0.138816
9.742697	0.00658241
9.742727	0.00124719
9.742755	0.00658241
9.742832	0.000412116
9.742844	0.000412116
9.742855	0.000412116
9.742929	0.000412116
9.742951	0.0340117
9.743047	0.0458696
9.743057	0.000412116
9.743099	0.000412116
9.743152	0.0458696
9.743179	0.0152421
9.743209	0.000827832
9.743223	0.000412116
9.743233	0.000827832
9.743524	0.0188751
9.743544	0.010042
9.743609	0.0141473
9.743713	0.000866852
9.743716	8.27967e-05
9.743864	0.034746
9.743976	0.0132013
9.744065	0.003432
9.744073	0.000415887
9.744099	0.000412116
9.744151	0.000827832
9.744279	0.00658241
9.74435	0.000412116
9.744377	0.000412116
9.74442	0.000412116
9.744471	0.003432
9.744552	0.0340117
9.74486	0.000412116
9.74487	0.000412116
9.744959	0.000412116
9.745175	0.013608
9.745352	0.000412116
9.745386	0.00658241
9.745404	0.00658241
9.74554	0.00124719
9.745586	0.00167025
9.745639	0.000827832
9.745671	0.00658241
9.745685	0.0136967
9.74571	0.0136967
9.745713	0.0136967
9.745812	0.00627275
9.746019	0.000412116
9.746187	0.013608
9.746672	0.00209705
9.746747	0.000412116
9.746828	0.000412116
9.746857	0.00658241
9.746942	0.0340117
9.746964	0.000412116
9.747097	0.00658241
9.747152	0.000412116
9.747237	0.013608
9.747267	0.000412116
9.747455	0.0145239
9.747698	0.00658241
9.748051	0.00627275
9.748108	0.000412116
9.748132	0.000412116
9.748229	0.000412116
9.748396	0.000412116
9.748526	0.0399765
9.748903	0.000827832
9.749053	0.0980669
9.749087	0.00340042
9.749164	0.00340042
9.749177	0.00658241
9.749232	0.000827832
9.749339	0.00252765
9.749511	0.138816
9.74955	0.000412116
9.74972	0.000412116
9.74999	0.00658241
9.75018	0.00124719
9.750273	0.0152421
9.750524	0.000412116
9.750599	0.000412116
9.7506	0.000412116
9.750614	0.000827832
9.750624	0.00658241
9.75065	0.00124719
9.750661	0.00125865
9.750752	0.000412116
9.750911	0.000412116
9.751008	0.013608
9.751024	0.0458696
9.751033	0.00125865
9.751219	0.0340117
9.751271	0.000412116
9.7513	0.00209705
9.751496	0.00658241
9.75156	0.0152421
9.751568	0.000412116
9.751615	0.00658241
9.751759	0.00428899
9.751913	0.000827832
9.752534	0.00658241
9.752535	0.00658241
9.75275	0.000835422
9.752787	0.00209705
9.752811	0.00252765
9.752842	0.00296209
9.752899	0.00252765
9.752915	0.000827832
9.752935	0.000827832
9.752955	0.000827832
9.753125	0.000412116
9.753163	0.000412116
9.753164	0.000412116
9.753351	0.00658241
9.753365	0.000412116
9.75337	0.0136967
9.753399	0.000412116
9.753522	0.00658241
9.753594	0.00124719
9.753648	0.000827832
9.753715	0.000415887
9.753732	0.00658241
9.753797	0.00209705
9.754217	0.00340042
9.754258	0.00209705
9.754317	0.00125865
9.754342	0.0152421
9.754348	0.013608
9.754383	0.000827832
9.754518	0.000412116
9.754616	0.000827832
9.754728	0.0980669
9.754891	0.000827832
9.75502	0.000412116
9.755298	0.00209705
9.755342	0.0458696
9.755406	0.000415887
9.755421	0.00018728
9.755433	0.000827832
9.755477	0.00209705
9.755551	0.000412116
9.755891	0.000412116
9.755956	0.013608
9.756174	0.000412116
9.756265	0.00658241
9.756461	0.000412116
9.75661	0.00658241
9.756887	0.00658241
9.757254	0.00209705
9.757341	0.00209705
9.757463	0.000412116
9.757502	0.0458696
9.757543	0.00167025
9.757623	0.013608
9.757716	0.00252765
9.757844	0.0340117
9.757906	0.000412116
9.757916	0.000827832
9.757922	0.00252765
9.757927	0.013608
9.75801	0.003432
9.758023	0.00627275
9.758113	0.000827832
9.758238	0.013608
9.758318	0.0188751
9.758319	0.000827832
9.758333	0.000412116
9.758447	0.000412116
9.758694	0.000412116
9.75874	0.000412116
9.758751	0.000412116
9.758759	0.000827832
9.758763	0.000827832
9.758797	0.00627275
9.759042	0.000415887
9.759048	0.000415887
9.759159	0.000412116
9.759265	0.00627275
9.759275	0.00565242
9.759401	0.000827832
9.759425	0.000412116
9.759515	0.000827832
9.759751	0.000412116
9.759992	0.00340042
9.760542	0.0312124
9.760589	0.00124719
9.760736	0.000412116
9.761263	0.000412116
9.76153	0.000827832
9.761691	0.000412116
9.761783	0.138816
9.761829	0.00167025
9.761839	0.00167025
9.762107	0.0332063
9.762133	0.00171703
9.762173	0.138767
9.762385	0.00664452
9.762408	0.00041971
9.762433	0.00203832
9.762514	0.000412116
9.762553	0.00327516
9.762557	0.000789889
9.762621	0.000412116
9.762625	0.000412116
9.762697	0.0145239
9.762873	0.00611527
9.763017	0.00252765
9.763027	0.00658241
9.763153	0.000412116
9.763247	0.0152421
9.763306	0.000412116
9.763313	0.138816
9.76336	0.000412116
9.763362	0.000415887
9.763443	0.00252765
9.763445	0.013608
9.763451	0.000827832
9.763463	0.000412116
9.763522	0.00125865
9.763557	0.00776605
9.763576	0.00627275
9.763747	0.000412116
9.763769	0.0152421
9.763809	0.013608
9.76387	0.000412116
9.763931	0.000412116
9.764033	0.00658241
9.764215	0.000827832
9.764248	0.002375
9.764407	0.002375
9.764436	0.00658241
9.764444	0.010042
9.764489	0.000412116
9.764515	0.00658241
9.764573	0.00124719
9.764596	0.00658241
9.764628	0.00627275
9.764855	0.010042
9.764964	0.000827832
9.765143	0.00658241
9.765233	0.00611527
9.765498	0.000412116
9.765773	0.0169262
9.766011	0.000412116
9.766034	0.138816
9.766042	0.00124719
9.766055	0.00658241
9.766056	0.00658241
9.766057	0.00252765
9.766089	0.000412116
9.766151	0.000827832
9.76622	0.000412116
9.766254	0.000412116
9.766303	0.000412116
9.766409	0.000415887
9.766447	0.00209705
9.766463	0.0136967
9.766595	0.000412116
9.766766	0.0188751
9.767312	0.000412116
9.76733	0.000412116
9.767363	0.0188751
9.767538	0.000412116
9.767597	0.00252765
9.767722	0.00209705
9.767734	0.000412116
9.767748	0.00340042
9.767866	0.0218328
9.767886	0.00252765
9.767996	0.00658241
9.768376	0.000827832
9.769017	0.000412116
9.769531	0.0458696
9.76956	0.00124719
9.769954	0.0021164
9.77003	0.00340042
9.770582	0.000412116
9.771242	0.0207091
9.771686	0.00658241
9.7719	0.00658241
9.77201	0.00611527
9.772199	0.0458696
9.772402	0.000412116
9.772457	0.000412116
9.772727	0.000827832
9.772737	0.000827832
9.772753	0.0458696
9.772815	0.000412116
9.773026	0.000412116
9.773064	0.00658241
9.773161	0.00658241
9.773651	0.000827832
9.773704	0.000412116
9.773729	0.000412116
9.773764	0.000412116
9.773774	0.00124719
9.77417	0.000412116
9.774199	0.00252765
9.774255	0.00627275
9.77428	0.000412116
9.774368	0.0458696
9.774406	0.0120217
9.774498	0.000827832
9.774502	0.000412116
9.774651	0.0218328
9.774837	0.000412116
9.774871	0.000412116
9.774958	0.00627275
9.774984	0.00023953
9.775067	0.0458696
9.775068	0.00451258
9.775383	0.000412116
9.775405	0.000412116
9.775406	0.00627275
9.775645	0.00124719
9.775774	0.000412116
9.775875	0.00414346
9.775942	0.000443794
9.775999	0.0025
9.776084	0.000412116
9.776085	0.000412116
9.776376	0.00658241
9.776382	0.0136967
9.776416	0.000412116
9.776418	0.000415887
9.776435	0.00658241
9.776589	0.00627275
9.776646	0.0120217
9.776742	0.00658241
9.777109	0.000412116
9.777257	0.0458696
9.777295	0.000412116
9.777335	0.000412116
9.777591	0.000412116
9.777608	0.00209705
9.77765	0.00296209
9.777693	0.000412116
9.778108	0.00023953
9.778119	0.00658241
9.778128	0.0120217
9.778157	0.00296209
9.778174	0.000412116
9.77819	0.00125865
9.778226	0.00340042
9.778388	0.0021164
9.778484	0.000412116
9.77865	0.000412116
9.778828	0.000412116
9.779011	0.000412116
9.779088	0.00658241
9.779129	0.000827832
9.779161	0.0021164
9.7792	0.000415887
9.779254	0.00658241
9.779308	0.0152421
9.779328	0.00658241
9.779538	0.000412116
9.779659	0.00658241
9.779746	0.00159533
9.779773	0.000412116
9.779892	0.00225118
9.780119	0.000412116
9.780526	0.00023953
9.78053	0.000412116
9.780541	0.000412116
9.780577	0.000412116
9.780711	0.000412116
9.78083	0.000412116
9.78105	0.00384271
9.781561	0.0070539
9.781808	0.000412116
9.782082	0.000412116
9.782114	0.00658241
9.782142	0.000412116
9.782154	0.000412116
9.782193	0.0152421
9.782257	0.000412116
9.782284	0.00384271
9.783006	0.000412116
9.783306	0.000412116
9.783364	0.000412116
9.78346	0.00209705
9.783547	0.00611527
9.783737	0.00209705
9.783812	0.00209705
9.783859	0.00658241
9.784049	0.00124719
9.78405	0.0152421
9.784085	0.000827832
9.784252	0.0152421
9.784386	0.000412116
9.784549	0.00252765
9.784592	0.000827832
9.784905	0.000412116
9.784985	0.00340042
9.785243	0.000412116
9.785246	0.00124719
9.785263	0.000545644
9.785429	0.000412116
9.785447	0.00124719
9.785458	0.0458696
9.785461	0.000412116
9.785498	0.00023953
9.78557	0.0458696
9.785826	0.000412116
9.785833	0.000412116
9.785847	0.00658241
9.785849	0.000827832
9.785946	0.00658241
9.785965	0.000412116
9.785973	0.00384271
9.786115	0.000412116
9.786173	0.000412116
9.786339	0.000412116
9.786787	0.000412116
9.78688	0.0152421
9.786952	0.00658241
9.787487	0.00899101
9.787608	0.000415887
9.787628	0.000415887
9.787656	0.000412116
9.787695	0.000412116
9.787753	0.00340042
9.788049	0.00340042
9.788136	0.000412116
9.788261	0.0152421
9.788447	0.00658241
9.78849	0.000415887
9.788526	0.000827832
9.788543	0.000412116
9.788576	0.000412116
9.788593	0.0152421
9.788607	0.000412116
9.788662	0.00023953
9.788944	0.00209705
9.788954	0.000412116
9.789177	0.00167025
9.789321	0.00658241
9.789495	0.0921397
9.78952	0.000412116
9.789528	0.000412116
9.789786	0.00340042
9.789867	0.000412116
9.789904	0.00252765
9.790005	0.0207091
9.790007	0.0152421
9.790047	0.000412116
9.790261	0.000412116
9.790306	0.00658241
9.790321	0.000827832
9.790484	0.000412116
9.790495	0.0152421
9.790518	0.0921397
9.790598	0.00124719
9.790646	0.000827832
9.790724	0.00658241
9.790816	0.00658241
9.790829	0.0145239
9.790866	0.00658241
9.791072	0.00124719
9.791081	0.000412116
9.791358	0.000412116
9.791387	0.0021164
9.791435	0.000412116
9.791567	0.000827832
9.791597	0.000412116
9.791633	0.00252765
9.791638	0.00658241
9.79164	0.000412116
9.791659	0.000412116
9.791727	0.00124719
9.791834	0.00252765
9.791908	0.000412116
9.791932	0.0420853
9.791933	0.0218328
9.792155	0.000412116
9.792219	0.000412116
9.79224	0.0152421
9.792339	0.000423585
9.792342	0.000423585
9.792512	0.00627275
9.792546	0.00252765
9.792562	0.00209705
9.792706	0.00252765
9.792758	0.00340042
9.792819	0.00658241
9.792987	0.0458696
9.7933	0.00658241
9.793586	0.000412116
9.79359	0.00124719
9.793759	0.00658241
9.793956	0.000412116
9.794041	0.000412116
9.794052	0.00023953
9.794054	0.00298954
9.79423	0.000412116
9.794267	0.000827832
9.794343	0.0120217
9.794418	0.0117729
9.794598	0.000412116
9.794617	0.000412116
9.794709	0.0218328
9.794875	0.000827832
9.794994	0.00340042
9.79514	0.000412116
9.795302	0.138816
9.795413	0.000412116
9.795475	0.0155971
9.795558	0.000412116
9.795673	0.000412116
9.796243	0.000412116
9.796252	0.0152421
9.796253	0.0152421
9.796399	0.0021164
9.7964	0.000773888
9.796401	0.00384271
9.796402	0.000412116
9.796408	0.0458696
9.796573	0.000412116
9.796574	0.000412116
9.796588	0.138816
9.796608	0.000412116
9.796735	0.00252765
9.797022	0.00124719
9.797502	0.00023953
9.797803	0.00209705
9.798286	0.00658241
9.798336	0.0152421
9.798383	0.000412116
9.798823	0.00658241
9.798887	0.000412116
9.798919	0.00384271
9.798999	0.015677
9.79914	0.0156188
9.799158	0.00124719
9.799465	0.000412116
9.799623	0.000827832
9.799771	0.00324495
9.799884	0.00472188
9.800035	0.0218328
9.800083	0.000412116
9.800289	0.00384271
9.800532	0.00384271
9.800606	0.015677
9.800951	0.00252765
9.801023	0.000827832
9.801255	0.0921397
9.801538	0.000412116
9.801605	0.0120217
9.801761	0.138816
9.801844	0.000412116
9.801906	0.00658241
9.802174	0.000412116
9.802679	0.000412116
9.802885	0.000827832
9.802899	0.000415887
9.802955	0.00658241
9.803019	0.0458696
9.803038	0.0152421
9.803101	0.0120217
9.803104	0.000412116
9.803222	0.00658241
9.803338	1.88425e-05
9.803381	0.000412116
9.80341	0.0152421
9.803414	0.0198506
9.803442	0.000412116
9.803942	0.000827832
9.804056	0.015677
9.80421	0.000412116
9.80438	0.000412116
9.804384	0.000412116
9.804388	0.00611527
9.804401	0.0218328
9.804423	0.0218328
9.804584	0.000412116
9.804746	0.00252765
9.804978	0.000412116
9.805128	0.000827832
9.805138	0.000412116
9.805145	0.0021164
9.805291	0.00252765
9.805594	0.000827832
9.805747	0.000412116
9.805951	0.000412116
9.806203	0.000412116
9.806287	0.00340042
9.807076	0.00318921
9.80721	0.000827832
9.807309	0.0458696
9.80739	0.000412116
9.807437	0.015677
9.807462	0.00121312
9.807601	0.000412116
9.807669	0.00340042
9.807695	0.00121312
9.807737	1.88425e-05
9.807863	0.000412116
9.808335	0.000412116
9.808336	0.00947867
9.808383	0.00252765
9.808388	0.000412116
9.808455	0.00340042
9.808468	0.00384271
9.809012	0.0218328
9.80905	0.00209705
9.809069	0.0324408
9.809228	0.0152421
9.809401	0.000835422
9.809611	0.000412116
9.809736	0.0458696
9.809822	0.00664452
9.809865	0.00124719
9.809927	0.0021164
9.809994	0.000827832
9.810125	0.000827832
9.810162	0.00126126
9.810236	0.00249964
9.810312	0.00125865
9.810321	0.00125865
9.810379	0.00664452
9.810511	0.0458696
9.810529	0.000412116
9.810766	0.00658241
9.810866	0.0120217
9.81093	0.00384271
9.811018	0.00124719
9.811032	0.000412116
9.811053	0.00124719
9.811109	0.00252765
9.811374	0.000412116
9.811477	0.00607143
9.811478	0.00607143
9.811479	0.00209705
9.811577	0.00121312
9.811604	0.000412116
9.811869	0.000412116
9.811981	0.000412116
9.812089	0.000412116
9.812192	0.000827832
9.812203	0.000827832
9.812481	0.010042
9.812486	0.000412116
9.812626	0.00658241
9.812715	0.00384271
9.812997	0.000415887
9.812999	0.000412116
9.813011	0.00658241
9.813163	0.000412116
9.813179	0.000412116
9.813295	0.0218328
9.813515	0.00611527
9.813607	0.000827832
9.813702	0.00611527
9.813793	0.000412116
9.813851	0.000827832
9.813853	0.0159536
9.814376	0.0980669
9.814377	0.0980669
9.814558	0.000412116
9.814608	0.00658241
9.81466	0.0152421
9.814672	0.0148361
9.814693	0.000412116
9.814726	0.000412116
9.81474	0.00209705
9.814805	0.000415887
9.814867	0.000412116
9.814961	0.0021164
9.815152	0.000827832
9.81524	0.000412116
9.81576	0.00658241
9.816225	0.00340042
9.816249	0.00384271
9.816426	0.000415887
9.816618	0.000412116
9.816671	0.000412116
9.816733	0.000412116
9.816764	0.000412116
9.816914	0.00658241
9.817102	0.00209705
9.817179	0.000412116
9.81722	0.000412116
9.817407	0.0021164
9.817537	0.000412116
9.817539	0.00658241
9.817549	0.00658241
9.817915	0.00209705
9.818203	0.00124719
9.818218	0.00252765
9.818243	0.000412116
9.818249	0.000415887
9.818484	0.00340042
9.818514	0.000412116
9.818533	0.000415887
9.818689	0.0159536
9.818729	0.00658241
9.818733	0.00428899
9.818806	0.000827832
9.81887	0.0159536
9.818879	0.015677
9.818958	0.000412116
9.818989	0.0109396
9.819151	0.00384271
9.819181	0.00124719
9.819351	0.000827832
9.819439	0.0014881
9.819542	0.00124719
9.819637	0.000412116
9.819918	0.000412116
9.819957	0.000412116
9.819979	0.0014881
9.820007	0.000412116
9.820149	0.00658241
9.820552	0.015392
9.82056	0.000415887
9.820596	0.000412116
9.820651	0.015677
9.820822	0.000412116
9.821016	0.00209705
9.821043	0.00252765
9.821303	0.000412116
9.821351	0.00384271
9.821375	0.000412116
9.821403	0.00124719
9.821679	0.0212766
9.821766	0.000412116
9.821947	0.000827832
9.822198	0.000827832
9.822216	0.00658241
9.822298	0.000412116
9.822452	0.000412116
9.822636	0.00658241
9.822857	0.00658241
9.822944	0.000412116
9.823017	0.0921397
9.82316	0.000415887
9.823199	0.0458696
9.823352	0.000412116
9.823587	0.000412116
9.823687	0.000415887
9.824385	0.0152421
9.824457	0.00472188
9.824565	0.00658241
9.824571	0.000415887
9.824645	0.000412116
9.824881	0.00209705
9.825023	0.000412116
9.825077	0.000412116
9.825091	0.00332954
9.82521	0.00209705
9.825466	0.0458696
9.825535	0.000412116
9.82562	0.000412116
9.825648	0.138816
9.82572	0.000412116
9.825771	0.000827832
9.825796	0.000412116
9.825814	0.00658241
9.825943	0.000415887
9.825961	0.000412116
9.826001	0.00658241
9.826027	0.00209705
9.826091	0.00473934
9.826097	0.000412116
9.826277	0.000412116
9.826327	0.00472188
9.826496	0.00209705
9.826634	0.0021164
9.827032	0.00167025
9.827317	0.00384271
9.827336	0.000412116
9.827475	0.000412116
9.827618	0.0218328
9.827716	0.0152421
9.827861	0.00041971
9.827878	0.00203832
9.827881	0.00646317
9.827885	0.0284955
9.828053	0.00658241
9.828134	0.000412116
9.828466	0.000412116
9.828495	0.000412116
9.828642	0.00400151
9.828736	0.0206371
9.828905	0.00167025
9.829183	0.000412116
9.829186	0.0021164
9.829225	0.00384271
9.829243	0.00611527
9.829246	0.000827832
9.829268	0.000412116
9.829396	0.000827832
9.829402	0.000412116
9.829637	0.000415887
9.829638	0.000415887
9.829753	0.000412116
9.829829	0.000412116
9.829871	0.031478
9.830002	0.0035225
9.830125	0.000423585
9.830131	0.00217609
9.830147	0.0067714
9.830242	0.000412116
9.830308	0.00472188
9.830319	0.000412116
9.830465	0.000412116
9.830505	0.00167025
9.830571	0.0145239
9.830646	0.00121312
9.830687	0.0206371
9.830701	0.000827832
9.83079	0.00252765
9.830794	0.0149068
9.830805	0.000412116
9.831445	0.00369049
9.831449	0.000412116
9.831495	0.000827832
9.831501	0.0198506
9.83152	0.00167025
9.831757	0.00167025
9.832244	0.000412116
9.832264	0.00658241
9.832274	0.000412116
9.832523	0.0206371
9.832696	0.00658241
9.83271	0.0145239
9.833044	0.000412116
9.833118	0.000412116
9.83313	0.000827832
9.833316	0.000412116
9.833522	0.000827832
9.833628	0.000412116
9.833674	0.000412116
9.833791	0.00124719
9.833813	0.00658241
9.833822	0.00369049
9.833947	0.00369049
9.834041	0.00124719
9.83421	0.00472188
9.834408	0.000412116
9.834629	0.000412116
9.834686	0.0152421
9.834757	0.000827832
9.834891	0.000412116
9.834969	0.000397336
9.834981	0.0123508
9.835467	0.00332954
9.835496	0.00209705
9.835953	0.000412116
9.83597	0.000412116
9.836027	0.000412116
9.836072	0.000827832
9.836126	0.0338228
9.836282	0.000415887
9.836345	0.00209705
9.836365	0.0021164
9.836534	0.0338228
9.836615	0.00167025
9.836925	0.00658241
9.83708	0.00472188
9.837129	0.00611527
9.837169	0.000412116
9.837268	0.000412116
9.837313	0.00658241
9.837325	0.000641334
9.837518	0.00473934
9.83759	0.000412116
9.837642	0.000412116
9.837791	0.000415887
9.837797	0.000827832
9.837835	0.000827832
9.837844	0.000827832
9.83805	0.0338228
9.838095	0.000412116
9.83812	0.000641334
9.838239	0.0218328
9.838246	0.000827832
9.838263	0.000835422
9.838365	0.000827832
9.838451	0.000827832
9.838621	0.00124719
9.838784	0.0338228
9.838835	0.000412116
9.838841	0.000412116
9.838962	0.00627275
9.839132	0.00332954
9.839224	0.000412116
9.839287	0.000412116
9.839317	0.000412116
9.839318	0.000412116
9.839422	0.00209705
9.839529	0.00298954
9.839623	0.000827832
9.83968	0.00658241
9.839743	0.00658241
9.839749	0.0338228
9.839758	0.0338228
9.839966	0.000412116
9.840041	0.000641334
9.840592	0.000412116
9.840802	0.0338228
9.840859	0.000412116
9.840909	0.000412116
9.840956	0.000835422
9.841101	0.000415887
9.841274	0.00255102
9.841285	0.000415887
9.841426	0.000412116
9.841442	0.000412116
9.841457	0.00167025
9.841463	0.00167025
9.841489	0.000412116
9.841756	0.00209705
9.841859	0.0338228
9.842021	0.00627275
9.842109	0.00296209
9.842176	0.0145239
9.842196	0.000412116
9.842337	0.000827832
9.842406	0.000412116
9.842407	0.000827832
9.842461	0.000415887
9.842526	0.000412116
9.842582	0.000412116
9.842628	0.0218328
9.842687	0.000415887
9.842718	0.0021164
9.842728	0.000412116
9.842838	0.000412116
9.842951	0.0458696
9.843077	0.00658241
9.84308	0.000412116
9.843141	0.00658241
9.843371	0.00209705
9.843515	0.000412116
9.84355	0.000412116
9.843625	0.00658241
9.843629	0.00658241
9.84367	0.000412116
9.843674	0.000412116
9.843921	0.00658241
9.843937	0.000412116
9.844001	0.00252765
9.844155	0.00658241
9.844169	0.00124719
9.844212	0.000412116
9.844306	0.000827832
9.844329	0.000412116
9.844398	0.0420853
9.844414	0.000412116
9.844495	0.00209705
9.844519	0.00124719
9.844611	0.0145239
9.844612	0.000827832
9.844761	0.0152421
9.844811	0.000412116
9.844817	0.0021164
9.845183	0.00627275
9.845453	0.000412116
9.845566	0.00428899
9.845666	0.00125865
9.845887	0.000412116
9.845927	0.0458696
9.845937	0.00658241
9.846066	0.00565242
9.846132	0.000412116
9.846134	0.000412116
9.846202	0.00125865
9.846221	0.000412116
9.846326	0.000415887
9.846551	0.000497459
9.84657	0.0155971
9.847055	0.000412116
