gwas_gene	chrom	ps	key	cross_LOD_at_peak	marker_dist_kb	chrom_peak_LOD	chrom_peak_position	inside_interval	cross	contrast	label
pos-1	III	12353680	N2xXZ1516 | ht115 vs mig6	322.999762163956	0.135	939.500700565856	13305359	FALSE	N2xXZ1516	HT115-mig6	ht115 vs mig6
pos-1	III	12353680	N2xXZ1516 | ht115 vs par1	0	0.135	18.5069030868817	565487	FALSE	N2xXZ1516	HT115-par1	ht115 vs par1
pos-1	III	12353680	N2xXZ1516 | ht115 vs pos1	330.547844515239	0.135	709.853070505491	13314989	FALSE	N2xXZ1516	HT115-pos1	ht115 vs pos1
pos-1	III	12353680	N2xXZ1516 | ht115 vs rpn12	31.3578235196949	0.135	82.3898452070409	13294119	FALSE	N2xXZ1516	HT115-rpn12	ht115 vs rpn12
pos-1	III	12353680	N2xXZ1516 | ht115 vs vha5	58.5814956126082	0.135	138.095210601364	13314989	FALSE	N2xXZ1516	HT115-vha5	ht115 vs vha5
pos-1	III	12353680	N2xXZ1516 | mig6 vs par1	312.651508782178	0.135	825.0090546587	13365030	FALSE	N2xXZ1516	mig6-par1	mig6 vs par1
pos-1	III	12353680	N2xXZ1516 | mig6 vs rpn12	155.354783237338	0.135	477.761423148998	13314989	FALSE	N2xXZ1516	mig6-rpn12	mig6 vs rpn12
pos-1	III	12353680	N2xXZ1516 | mig6 vs vha5	36.5272677686344	0.135	121.513410759136	13294119	FALSE	N2xXZ1516	mig6-vha5	mig6 vs vha5
pos-1	III	12353680	N2xXZ1516 | par1 vs rpn12	28.103675831279	0.135	80.1080921378788	8005829	FALSE	N2xXZ1516	par1-rpn12	par1 vs rpn12
pos-1	III	12353680	N2xXZ1516 | par1 vs vha5	54.8252723133963	0.135	103.825654876524	13504861	FALSE	N2xXZ1516	par1-vha5	par1 vs vha5
pos-1	III	12353680	N2xXZ1516 | pos1 vs mig6	0	0.135	165.344064713778	427284	FALSE	N2xXZ1516	pos1-mig6	pos1 vs mig6
pos-1	III	12353680	N2xXZ1516 | pos1 vs par1	320.092443574796	0.135	609.257997057845	13344909	FALSE	N2xXZ1516	pos1-par1	pos1 vs par1
pos-1	III	12353680	N2xXZ1516 | pos1 vs rpn12	160.814053763339	0.135	309.352016731439	13314989	FALSE	N2xXZ1516	pos1-rpn12	pos1 vs rpn12
pos-1	III	12353680	N2xXZ1516 | pos1 vs vha5	38.2706987970683	0.135	71.9212154317331	13314989	FALSE	N2xXZ1516	pos1-vha5	pos1 vs vha5
pos-1	III	12353680	N2xXZ1516 | rpn12 vs vha5	9.04149347558735	0.135	41.226930261532	8044492	FALSE	N2xXZ1516	rpn12-vha5	rpn12 vs vha5
pos-1	III	12353680	JU1793xJU2466 | ht115 vs mig6	97.0170782013867	0	334.664787978512	13445021	FALSE	JU1793xJU2466	HT115g-MIG6g	ht115 vs mig6
pos-1	III	12353680	JU1793xJU2466 | ht115 vs pos1	35.4969130325314	0	139.716308730875	13783557	FALSE	JU1793xJU2466	HT115g-POS1g	ht115 vs pos1
pos-1	III	12353680	JU1793xJU2466 | mig6 vs pos1	9.05890199899624	0	70.2087911260375	644433	FALSE	JU1793xJU2466	MIG6g-POS1g	mig6 vs pos1
