key	cross	label	chrom	marker	cross_LOD	gwas_gene	n_snp	best_neglog10p	best_ps	gwas_sig
N2xXZ1516 | pos1 vs mig6	N2xXZ1516	pos1 vs mig6	X	X:13291327-13740359	84.5912181769091	pos-1	1629	2.7219596845793363	13558401	FALSE
N2xXZ1516 | ht115 vs par1	N2xXZ1516	ht115 vs par1	I	I:8963200-10002606	83.6503777847494	mig-6	757	1.0596390821086508	9678990	FALSE
N2xXZ1516 | ht115 vs par1	N2xXZ1516	ht115 vs par1	I	I:8963200-10002606	83.6503777847494	pos-1	757	2.8501594594176147	9431102	FALSE
N2xXZ1516 | ht115 vs rpn12	N2xXZ1516	ht115 vs rpn12	III	III:12918466-13654299	82.3898452070409	mig-6	859	1.6509959601180617	13217496	FALSE
N2xXZ1516 | ht115 vs rpn12	N2xXZ1516	ht115 vs rpn12	III	III:12918466-13654299	82.3898452070409	pos-1	859	5.754373838231758	13201395	FALSE
N2xXZ1516 | mig6 vs vha5	N2xXZ1516	mig6 vs vha5	V	V:10622227-11082889	81.9290826110248	mig-6	374	3.0905614921972315	10733311	FALSE
N2xXZ1516 | mig6 vs vha5	N2xXZ1516	mig6 vs vha5	V	V:10622227-11082889	81.9290826110248	pos-1	374	2.695039241200292	11011575	FALSE
N2xXZ1516 | par1 vs rpn12	N2xXZ1516	par1 vs rpn12	III	III:7930932-8083203	80.1080921378788	mig-6	225	1.5769272228081137	7940273	FALSE
N2xXZ1516 | par1 vs rpn12	N2xXZ1516	par1 vs rpn12	III	III:7930932-8083203	80.1080921378788	pos-1	225	1.731721176568492	7997117	FALSE
N2xXZ1516 | pos1 vs rpn12	N2xXZ1516	pos1 vs rpn12	I	I:13081718-13786238	75.4393619362899	mig-6	2394	2.327517915261982	13198095	FALSE
N2xXZ1516 | pos1 vs rpn12	N2xXZ1516	pos1 vs rpn12	I	I:13081718-13786238	75.4393619362899	pos-1	2394	2.68707301120289	13184427	FALSE
N2xXZ1516 | ht115 vs pos1	N2xXZ1516	ht115 vs pos1	IV	IV:12292415-12826042	75.372324262476	mig-6	936	1.3285295499479948	12299108	FALSE
N2xXZ1516 | ht115 vs pos1	N2xXZ1516	ht115 vs pos1	IV	IV:12292415-12826042	75.372324262476	pos-1	936	1.5312681790102882	12808300	FALSE
N2xXZ1516 | ht115 vs pos1	N2xXZ1516	ht115 vs pos1	V	V:10429245-11132057	74.7480108386512	mig-6	585	3.0905614921972315	10733311	FALSE
N2xXZ1516 | ht115 vs pos1	N2xXZ1516	ht115 vs pos1	V	V:10429245-11132057	74.7480108386512	pos-1	585	2.695039241200292	10451331	FALSE
N2xXZ1516 | pos1 vs rpn12	N2xXZ1516	pos1 vs rpn12	IV	IV:12782391-13962713	74.1496380161877	mig-6	3444	3.739775204303833	13342067	FALSE
N2xXZ1516 | pos1 vs rpn12	N2xXZ1516	pos1 vs rpn12	IV	IV:12782391-13962713	74.1496380161877	pos-1	3444	2.1987401867302947	13318857	FALSE
N2xXZ1516 | pos1 vs vha5	N2xXZ1516	pos1 vs vha5	III	III:13045092-13582720	71.9212154317331	mig-6	592	1.6509959601180617	13217496	FALSE
N2xXZ1516 | pos1 vs vha5	N2xXZ1516	pos1 vs vha5	III	III:13045092-13582720	71.9212154317331	pos-1	592	5.754373838231758	13201395	FALSE
JU1793xJU2466 | mig6 vs pos1	JU1793xJU2466	mig6 vs pos1	III	III:322302-968553	70.2087911260375	mig-6	2927	2.013323283641825	685190	FALSE
JU1793xJU2466 | mig6 vs pos1	JU1793xJU2466	mig6 vs pos1	III	III:322302-968553	70.2087911260375	pos-1	2927	2.887839573532217	927073	FALSE
N2xXZ1516 | mig6 vs vha5	N2xXZ1516	mig6 vs vha5	IV	IV:6874645-7413025	68.3684334797199	mig-6	375	1.2003049903452616	6950345	FALSE
N2xXZ1516 | mig6 vs vha5	N2xXZ1516	mig6 vs vha5	IV	IV:6874645-7413025	68.3684334797199	pos-1	375	1.0965640724101977	7157816	FALSE
N2xXZ1516 | pos1 vs par1	N2xXZ1516	pos1 vs par1	IV	IV:6255918-7033170	65.8373467139911	mig-6	1174	2.1335330714916045	6256216	FALSE
N2xXZ1516 | pos1 vs par1	N2xXZ1516	pos1 vs par1	IV	IV:6255918-7033170	65.8373467139911	pos-1	1174	1.954365692822622	6379350	FALSE
N2xXZ1516 | ht115 vs par1	N2xXZ1516	ht115 vs par1	II	II:8466876-8806838	63.8850892350342	mig-6	510	4.557095864524559	8469527	FALSE
N2xXZ1516 | ht115 vs par1	N2xXZ1516	ht115 vs par1	II	II:8466876-8806838	63.8850892350342	pos-1	510	1.7080475977648488	8540486	FALSE
JU1793xJU2466 | ht115 vs pos1	JU1793xJU2466	ht115 vs pos1	IV	IV:4691159-7592922	56.7000979266207	mig-6	4177	2.8157271695904966	5797144	FALSE
JU1793xJU2466 | ht115 vs pos1	JU1793xJU2466	ht115 vs pos1	IV	IV:4691159-7592922	56.7000979266207	pos-1	4177	2.4641486187119055	4994617	FALSE
N2xXZ1516 | par1 vs vha5	N2xXZ1516	par1 vs vha5	IV	IV:9772145-10938499	50.843671710382	mig-6	1329	1.2148352994792508	10883402	FALSE
N2xXZ1516 | par1 vs vha5	N2xXZ1516	par1 vs vha5	IV	IV:9772145-10938499	50.843671710382	pos-1	1329	1.7823192202336526	10883402	FALSE
N2xXZ1516 | ht115 vs vha5	N2xXZ1516	ht115 vs vha5	I	I:12396533-12739104	48.4798709683445	mig-6	1349	1.8119967472270642	12677629	FALSE
N2xXZ1516 | ht115 vs vha5	N2xXZ1516	ht115 vs vha5	I	I:12396533-12739104	48.4798709683445	pos-1	1349	2.7026875793310303	12677629	FALSE
N2xXZ1516 | pos1 vs vha5	N2xXZ1516	pos1 vs vha5	IV	IV:15610329-16022150	46.0401604386328	mig-6	2140	2.831431220250364	15679888	FALSE
N2xXZ1516 | pos1 vs vha5	N2xXZ1516	pos1 vs vha5	IV	IV:15610329-16022150	46.0401604386328	pos-1	2140	2.8448076375495917	15799436	FALSE
N2xXZ1516 | par1 vs vha5	N2xXZ1516	par1 vs vha5	V	V:10174183-10657317	45.8615275753508	mig-6	503	2.4809891431356133	10447649	FALSE
N2xXZ1516 | par1 vs vha5	N2xXZ1516	par1 vs vha5	V	V:10174183-10657317	45.8615275753508	pos-1	503	2.8264504170079428	10385720	FALSE
N2xXZ1516 | pos1 vs mig6	N2xXZ1516	pos1 vs mig6	II	II:753292-1015936	43.681076559782	mig-6	2179	2.9591264094438787	908051	FALSE
N2xXZ1516 | pos1 vs mig6	N2xXZ1516	pos1 vs mig6	II	II:753292-1015936	43.681076559782	pos-1	2179	1.8859023335345635	773645	FALSE
N2xXZ1516 | rpn12 vs vha5	N2xXZ1516	rpn12 vs vha5	III	III:7939409-8427060	41.226930261532	mig-6	550	1.5769272228081137	7940273	FALSE
N2xXZ1516 | rpn12 vs vha5	N2xXZ1516	rpn12 vs vha5	III	III:7939409-8427060	41.226930261532	pos-1	550	1.731721176568492	7997117	FALSE
JU1793xJU2466 | mig6 vs pos1	JU1793xJU2466	mig6 vs pos1	V	V:1437127-1786512	39.5709605655503	mig-6	2271	1.682340245257388	1648170	FALSE
JU1793xJU2466 | mig6 vs pos1	JU1793xJU2466	mig6 vs pos1	V	V:1437127-1786512	39.5709605655503	pos-1	2271	2.7206680297970505	1648170	FALSE
N2xXZ1516 | par1 vs rpn12	N2xXZ1516	par1 vs rpn12	II	II:7124703-7259125	39.188405667343	mig-6	215	3.2480904717645145	7156557	FALSE
N2xXZ1516 | par1 vs rpn12	N2xXZ1516	par1 vs rpn12	II	II:7124703-7259125	39.188405667343	pos-1	215	1.376625402702162	7206021	FALSE
JU1793xJU2466 | ht115 vs mig6	JU1793xJU2466	ht115 vs mig6	I	I:6908784-10518865	39.0711377758988	mig-6	2210	1.6664155060965542	7884497	FALSE
JU1793xJU2466 | ht115 vs mig6	JU1793xJU2466	ht115 vs mig6	I	I:6908784-10518865	39.0711377758988	pos-1	2210	2.8501594594176147	9431102	FALSE
N2xXZ1516 | ht115 vs vha5	N2xXZ1516	ht115 vs vha5	II	II:7150137-7800761	38.147230365414	mig-6	1029	3.9397328911828486	7636293	FALSE
N2xXZ1516 | ht115 vs vha5	N2xXZ1516	ht115 vs vha5	II	II:7150137-7800761	38.147230365414	pos-1	1029	1.6416971110823324	7521957	FALSE
N2xXZ1516 | par1 vs rpn12	N2xXZ1516	par1 vs rpn12	I	I:8350659-9081485	37.7167834737789	mig-6	493	0.7925490281428114	8825655	FALSE
N2xXZ1516 | par1 vs rpn12	N2xXZ1516	par1 vs rpn12	I	I:8350659-9081485	37.7167834737789	pos-1	493	1.9927734320432506	8682243	FALSE
JU1793xJU2466 | ht115 vs mig6	JU1793xJU2466	ht115 vs mig6	II	II:14197089-15242948	31.1509949997116	mig-6	3243	2.349933980645196	14563227	FALSE
JU1793xJU2466 | ht115 vs mig6	JU1793xJU2466	ht115 vs mig6	II	II:14197089-15242948	31.1509949997116	pos-1	3243	2.5402567500176865	14322264	FALSE
JU1793xJU2466 | ht115 vs mig6	JU1793xJU2466	ht115 vs mig6	V	V:117208-413122	30.6568127687936	mig-6	1199	2.4423844184530132	365296	FALSE
