cross	contrast	label	key	chrom	peak.position	peak.LOD	lod.drop.used	lcon	rcon	marker	width.kb	significant
N2xXZ1516	HT115-pos1	ht115 vs pos1	N2xXZ1516 | ht115 vs pos1	II	3705031	148.435416653047	14.8435416653047	3557188	3856579	II:3557188-3856579	299.391	TRUE
N2xXZ1516	HT115-pos1	ht115 vs pos1	N2xXZ1516 | ht115 vs pos1	IV	12564949	75.372324262476	7.5372324262476	12292415	12826042	IV:12292415-12826042	533.627	TRUE
N2xXZ1516	HT115-pos1	ht115 vs pos1	N2xXZ1516 | ht115 vs pos1	V	10884782	74.7480108386512	7.47480108386512	10429245	11132057	V:10429245-11132057	702.812	TRUE
N2xXZ1516	HT115-pos1	ht115 vs pos1	N2xXZ1516 | ht115 vs pos1	I	13465244	29.8973739759935	2.98973739759935	13188544	13600804	I:13188544-13600804	412.26	TRUE
N2xXZ1516	HT115-rpn12	ht115 vs rpn12	N2xXZ1516 | ht115 vs rpn12	V	10755286	97.6740460650292	9.76740460650292	10506298	11020251	V:10506298-11020251	513.953	TRUE
N2xXZ1516	HT115-rpn12	ht115 vs rpn12	N2xXZ1516 | ht115 vs rpn12	III	13294119	82.3898452070409	8.23898452070409	12918466	13654299	III:12918466-13654299	735.833	TRUE
N2xXZ1516	HT115-rpn12	ht115 vs rpn12	N2xXZ1516 | ht115 vs rpn12	II	12075761	27.6037916263298	2.76037916263298	11967567	12206151	II:11967567-12206151	238.584	TRUE
N2xXZ1516	HT115-rpn12	ht115 vs rpn12	N2xXZ1516 | ht115 vs rpn12	I	9855068	17.1158262498944	1.71158262498944	9598809	10093840	I:9598809-10093840	495.031	TRUE
N2xXZ1516	HT115-rpn12	ht115 vs rpn12	N2xXZ1516 | ht115 vs rpn12	IV	17205395	13.9427882447735	1.39427882447735	16893882	17469325	IV:16893882-17469325	575.443	TRUE
N2xXZ1516	HT115-rpn12	ht115 vs rpn12	N2xXZ1516 | ht115 vs rpn12	X	8615098	10.4018122787053	1.04018122787053	8443343	8742757	X:8443343-8742757	299.414	TRUE
N2xXZ1516	HT115-vha5	ht115 vs vha5	N2xXZ1516 | ht115 vs vha5	III	13314989	138.095210601364	13.8095210601364	13023295	13617062	III:13023295-13617062	593.767	TRUE
N2xXZ1516	HT115-vha5	ht115 vs vha5	N2xXZ1516 | ht115 vs vha5	V	11904912	135.405359575919	13.5405359575919	11548977	12309161	V:11548977-12309161	760.184	TRUE
N2xXZ1516	HT115-vha5	ht115 vs vha5	N2xXZ1516 | ht115 vs vha5	I	12544783	48.4798709683445	4.84798709683445	12396533	12739104	I:12396533-12739104	342.571	TRUE
N2xXZ1516	HT115-vha5	ht115 vs vha5	N2xXZ1516 | ht115 vs vha5	II	7435101	38.147230365414	3.8147230365414	7150137	7800761	II:7150137-7800761	650.624	TRUE
N2xXZ1516	HT115-vha5	ht115 vs vha5	N2xXZ1516 | ht115 vs vha5	IV	504727	15.6291774355931	1.56291774355931	199689	794356	IV:199689-794356	594.667	TRUE
N2xXZ1516	HT115-vha5	ht115 vs vha5	N2xXZ1516 | ht115 vs vha5	X	15515321	14.6517040102673	1.46517040102673	15378447	15734134	X:15378447-15734134	355.687	TRUE
N2xXZ1516	mig6-par1	mig6 vs par1	N2xXZ1516 | mig6 vs par1	III	13365030	825.0090546587	82.50090546587	12993488	13733893	III:12993488-13733893	740.405	TRUE
N2xXZ1516	mig6-par1	mig6 vs par1	N2xXZ1516 | mig6 vs par1	I	1874805	493.021843480466	49.3021843480466	1738586	2015951	I:1738586-2015951	277.365	TRUE
N2xXZ1516	mig6-par1	mig6 vs par1	N2xXZ1516 | mig6 vs par1	V	10675810	440.475106394845	44.0475106394845	10377267	11127872	V:10377267-11127872	750.605	TRUE
N2xXZ1516	mig6-par1	mig6 vs par1	N2xXZ1516 | mig6 vs par1	II	13375236	204.293445483838	20.4293445483838	13231343	13534595	II:13231343-13534595	303.252	TRUE
N2xXZ1516	mig6-par1	mig6 vs par1	N2xXZ1516 | mig6 vs par1	IV	17492237	93.3089364522409	9.33089364522409	17415336	17492237	IV:17415336-17492237	76.901	TRUE
N2xXZ1516	mig6-par1	mig6 vs par1	N2xXZ1516 | mig6 vs par1	X	9715319	91.8611000768637	9.18611000768637	9150357	10278185	X:9150357-10278185	1127.828	TRUE
N2xXZ1516	mig6-rpn12	mig6 vs rpn12	N2xXZ1516 | mig6 vs rpn12	I	1874805	671.661655906809	67.1661655906809	1740710	2023025	I:1740710-2023025	282.315	TRUE
N2xXZ1516	mig6-rpn12	mig6 vs rpn12	N2xXZ1516 | mig6 vs rpn12	III	13314989	477.761423148998	47.7761423148998	13007680	13635875	III:13007680-13635875	628.195	TRUE
N2xXZ1516	mig6-rpn12	mig6 vs rpn12	N2xXZ1516 | mig6 vs rpn12	V	12484824	310.699599091571	31.0699599091571	12129340	12743230	V:12129340-12743230	613.89	TRUE
N2xXZ1516	mig6-rpn12	mig6 vs rpn12	N2xXZ1516 | mig6 vs rpn12	II	13375236	199.089770439666	19.9089770439666	13265123	13490981	II:13265123-13490981	225.858	TRUE
N2xXZ1516	mig6-rpn12	mig6 vs rpn12	N2xXZ1516 | mig6 vs rpn12	IV	7135417	196.187700369613	19.6187700369614	6730318	8520854	IV:6730318-8520854	1790.536	TRUE
N2xXZ1516	mig6-rpn12	mig6 vs rpn12	N2xXZ1516 | mig6 vs rpn12	X	9984739	118.418029531974	11.8418029531974	9705058	10225726	X:9705058-10225726	520.668	TRUE
N2xXZ1516	mig6-vha5	mig6 vs vha5	N2xXZ1516 | mig6 vs vha5	I	1865099	197.652216418533	19.7652216418533	1736492	1972984	I:1736492-1972984	236.492	TRUE
N2xXZ1516	mig6-vha5	mig6 vs vha5	N2xXZ1516 | mig6 vs vha5	III	13294119	121.513410759136	12.1513410759136	12945401	13676530	III:12945401-13676530	731.129	TRUE
N2xXZ1516	mig6-vha5	mig6 vs vha5	N2xXZ1516 | mig6 vs vha5	X	9774553	92.5765795526092	9.25765795526092	9539356	10203392	X:9539356-10203392	664.036	TRUE
N2xXZ1516	mig6-vha5	mig6 vs vha5	N2xXZ1516 | mig6 vs vha5	II	13374877	90.1871850010017	9.01871850010017	13220651	13499798	II:13220651-13499798	279.147	TRUE
N2xXZ1516	mig6-vha5	mig6 vs vha5	N2xXZ1516 | mig6 vs vha5	V	10805330	81.9290826110248	8.19290826110248	10622227	11082889	V:10622227-11082889	460.662	TRUE
N2xXZ1516	mig6-vha5	mig6 vs vha5	N2xXZ1516 | mig6 vs vha5	IV	7144853	68.3684334797199	6.83684334797199	6874645	7413025	IV:6874645-7413025	538.38	TRUE
N2xXZ1516	par1-rpn12	par1 vs rpn12	N2xXZ1516 | par1 vs rpn12	IV	8865291	151.454661480371	15.1454661480371	7811403	10012131	IV:7811403-10012131	2200.728	TRUE
N2xXZ1516	par1-rpn12	par1 vs rpn12	N2xXZ1516 | par1 vs rpn12	V	1295218	86.5341616640899	8.65341616640899	1107286	1536966	V:1107286-1536966	429.68	TRUE
N2xXZ1516	par1-rpn12	par1 vs rpn12	N2xXZ1516 | par1 vs rpn12	III	8005829	80.1080921378788	8.01080921378788	7930932	8083203	III:7930932-8083203	152.271	TRUE
N2xXZ1516	par1-rpn12	par1 vs rpn12	N2xXZ1516 | par1 vs rpn12	II	7184986	39.188405667343	3.9188405667343	7124703	7259125	II:7124703-7259125	134.422	TRUE
N2xXZ1516	par1-rpn12	par1 vs rpn12	N2xXZ1516 | par1 vs rpn12	I	8575182	37.7167834737789	3.77167834737789	8350659	9081485	I:8350659-9081485	730.826	TRUE
N2xXZ1516	par1-rpn12	par1 vs rpn12	N2xXZ1516 | par1 vs rpn12	X	4505220	17.5929767068317	1.75929767068317	4413762	4592552	X:4413762-4592552	178.79	TRUE
N2xXZ1516	par1-vha5	par1 vs vha5	N2xXZ1516 | par1 vs vha5	III	13504861	103.825654876524	10.3825654876524	13071837	13783557	III:13071837-13783557	711.72	TRUE
N2xXZ1516	par1-vha5	par1 vs vha5	N2xXZ1516 | par1 vs vha5	IV	10425221	50.843671710382	5.0843671710382	9772145	10938499	IV:9772145-10938499	1166.354	TRUE
N2xXZ1516	par1-vha5	par1 vs vha5	N2xXZ1516 | par1 vs vha5	V	10415020	45.8615275753508	4.58615275753508	10174183	10657317	V:10174183-10657317	483.134	TRUE
N2xXZ1516	par1-vha5	par1 vs vha5	N2xXZ1516 | par1 vs vha5	I	5435	21.1101434862868	2.11101434862868	5435	332135	I:5435-332135	326.7	TRUE
N2xXZ1516	par1-vha5	par1 vs vha5	N2xXZ1516 | par1 vs vha5	II	3345032	13.1262848008627	1.31262848008627	3246696	3403730	II:3246696-3403730	157.034	TRUE
N2xXZ1516	par1-vha5	par1 vs vha5	N2xXZ1516 | par1 vs vha5	X	4775099	4.19948160970706	0.419948160970707	4501036	4860860	X:4501036-4860860	359.824	TRUE
N2xXZ1516	pos1-mig6	pos1 vs mig6	N2xXZ1516 | pos1 vs mig6	I	1876106	751.118651618331	75.1118651618331	1746038	2018167	I:1746038-2018167	272.129	TRUE
N2xXZ1516	pos1-mig6	pos1 vs mig6	N2xXZ1516 | pos1 vs mig6	V	13805216	730.261431098777	73.0261431098777	13581302	13972722	V:13581302-13972722	391.42	TRUE
N2xXZ1516	pos1-mig6	pos1 vs mig6	N2xXZ1516 | pos1 vs mig6	IV	17492237	167.299162143721	16.7299162143721	17381170	17492237	IV:17381170-17492237	111.067	TRUE
N2xXZ1516	pos1-mig6	pos1 vs mig6	N2xXZ1516 | pos1 vs mig6	III	427284	165.344064713778	16.5344064713778	220437	649090	III:220437-649090	428.653	TRUE
N2xXZ1516	pos1-mig6	pos1 vs mig6	N2xXZ1516 | pos1 vs mig6	X	13584860	84.5912181769091	8.45912181769091	13291327	13740359	X:13291327-13740359	449.032	TRUE
N2xXZ1516	pos1-mig6	pos1 vs mig6	N2xXZ1516 | pos1 vs mig6	II	845122	43.681076559782	4.36810765597821	753292	1015936	II:753292-1015936	262.644	TRUE
N2xXZ1516	pos1-par1	pos1 vs par1	N2xXZ1516 | pos1 vs par1	III	13344909	609.257997057845	60.9257997057845	13047929	13670776	III:13047929-13670776	622.847	TRUE
N2xXZ1516	pos1-par1	pos1 vs par1	N2xXZ1516 | pos1 vs par1	II	10755103	226.023829692705	22.6023829692705	10657335	10852766	II:10657335-10852766	195.431	TRUE
N2xXZ1516	pos1-par1	pos1 vs par1	N2xXZ1516 | pos1 vs par1	I	13544769	135.695625309635	13.5695625309635	13118472	14019441	I:13118472-14019441	900.969	TRUE
N2xXZ1516	pos1-par1	pos1 vs par1	N2xXZ1516 | pos1 vs par1	X	11374909	134.457488066227	13.4457488066227	11086501	11625610	X:11086501-11625610	539.109	TRUE
N2xXZ1516	pos1-par1	pos1 vs par1	N2xXZ1516 | pos1 vs par1	V	16355052	114.854389180977	11.4854389180977	16053013	16563416	V:16053013-16563416	510.403	TRUE
N2xXZ1516	pos1-par1	pos1 vs par1	N2xXZ1516 | pos1 vs par1	IV	6595032	65.8373467139911	6.58373467139911	6255918	7033170	IV:6255918-7033170	777.252	TRUE
N2xXZ1516	pos1-rpn12	pos1 vs rpn12	N2xXZ1516 | pos1 vs rpn12	III	13314989	309.352016731439	30.9352016731439	13063487	13577925	III:13063487-13577925	514.438	TRUE
N2xXZ1516	pos1-rpn12	pos1 vs rpn12	N2xXZ1516 | pos1 vs rpn12	X	11205237	130.042595388986	13.0042595388986	10981801	11623483	X:10981801-11623483	641.682	TRUE
N2xXZ1516	pos1-rpn12	pos1 vs rpn12	N2xXZ1516 | pos1 vs rpn12	II	10765294	127.41916293263	12.741916293263	10704614	10884941	II:10704614-10884941	180.327	TRUE
N2xXZ1516	pos1-rpn12	pos1 vs rpn12	N2xXZ1516 | pos1 vs rpn12	V	1385004	126.973632412318	12.6973632412318	1150725	1715329	V:1150725-1715329	564.604	TRUE
N2xXZ1516	pos1-rpn12	pos1 vs rpn12	N2xXZ1516 | pos1 vs rpn12	I	13234422	75.4393619362899	7.54393619362899	13081718	13786238	I:13081718-13786238	704.52	TRUE
N2xXZ1516	pos1-rpn12	pos1 vs rpn12	N2xXZ1516 | pos1 vs rpn12	IV	13594999	74.1496380161877	7.41496380161877	12782391	13962713	IV:12782391-13962713	1180.322	TRUE
N2xXZ1516	pos1-vha5	pos1 vs vha5	N2xXZ1516 | pos1 vs vha5	V	13735008	121.591625229714	12.1591625229714	13518979	14035679	V:13518979-14035679	516.7	TRUE
N2xXZ1516	pos1-vha5	pos1 vs vha5	N2xXZ1516 | pos1 vs vha5	II	9466338	116.355440422384	11.6355440422384	9107944	9605573	II:9107944-9605573	497.629	TRUE
N2xXZ1516	pos1-vha5	pos1 vs vha5	N2xXZ1516 | pos1 vs vha5	X	9811338	94.9947974569763	9.49947974569763	9440025	10241136	X:9440025-10241136	801.111	TRUE
N2xXZ1516	pos1-vha5	pos1 vs vha5	N2xXZ1516 | pos1 vs vha5	I	13595661	88.7376281160814	8.87376281160814	13101681	14145823	I:13101681-14145823	1044.142	TRUE
N2xXZ1516	pos1-vha5	pos1 vs vha5	N2xXZ1516 | pos1 vs vha5	III	13314989	71.9212154317331	7.19212154317331	13045092	13582720	III:13045092-13582720	537.628	TRUE
N2xXZ1516	pos1-vha5	pos1 vs vha5	N2xXZ1516 | pos1 vs vha5	IV	15825172	46.0401604386328	4.60401604386328	15610329	16022150	IV:15610329-16022150	411.821	TRUE
N2xXZ1516	rpn12-vha5	rpn12 vs vha5	N2xXZ1516 | rpn12 vs vha5	III	8044492	41.226930261532	4.1226930261532	7939409	8427060	III:7939409-8427060	487.651	TRUE
N2xXZ1516	rpn12-vha5	rpn12 vs vha5	N2xXZ1516 | rpn12 vs vha5	I	2182608	29.7039553029997	2.97039553029997	2016576	2455860	I:2016576-2455860	439.284	TRUE
N2xXZ1516	rpn12-vha5	rpn12 vs vha5	N2xXZ1516 | rpn12 vs vha5	II	7195035	23.2721480373896	2.32721480373896	7045096	7434615	II:7045096-7434615	389.519	TRUE
N2xXZ1516	rpn12-vha5	rpn12 vs vha5	N2xXZ1516 | rpn12 vs vha5	V	20487924	22.1691322275439	2.21691322275439	20470971	20487924	V:20470971-20487924	16.953	TRUE
N2xXZ1516	rpn12-vha5	rpn12 vs vha5	N2xXZ1516 | rpn12 vs vha5	IV	6025783	14.646481069088	1.4646481069088	5793069	6242460	IV:5793069-6242460	449.391	TRUE
N2xXZ1516	rpn12-vha5	rpn12 vs vha5	N2xXZ1516 | rpn12 vs vha5	X	15793943	6.31671882168799	0.631671882168799	15633718	15949684	X:15633718-15949684	315.966	TRUE
JU1793xJU2466	HT115g-MIG6g	ht115 vs mig6	JU1793xJU2466 | ht115 vs mig6	X	7151301	797.961752045622	79.7961752045622	6654911	7585420	X:6654911-7585420	930.509	TRUE
JU1793xJU2466	HT115g-MIG6g	ht115 vs mig6	JU1793xJU2466 | ht115 vs mig6	III	13445021	334.664787978512	33.4664787978512	13134217	13763178	III:13134217-13763178	628.961	TRUE
JU1793xJU2466	HT115g-MIG6g	ht115 vs mig6	JU1793xJU2466 | ht115 vs mig6	IV	5754118	168.460753843911	16.8460753843911	5144976	6544155	IV:5144976-6544155	1399.179	TRUE
JU1793xJU2466	HT115g-MIG6g	ht115 vs mig6	JU1793xJU2466 | ht115 vs mig6	I	9681496	39.0711377758988	3.90711377758988	6908784	10518865	I:6908784-10518865	3610.081	TRUE
JU1793xJU2466	HT115g-MIG6g	ht115 vs mig6	JU1793xJU2466 | ht115 vs mig6	II	15242948	31.1509949997116	3.11509949997116	14197089	15242948	II:14197089-15242948	1045.859	TRUE
JU1793xJU2466	HT115g-MIG6g	ht115 vs mig6	JU1793xJU2466 | ht115 vs mig6	V	284869	30.6568127687936	3.06568127687936	117208	413122	V:117208-413122	295.914	TRUE
JU1793xJU2466	HT115g-POS1g	ht115 vs pos1	JU1793xJU2466 | ht115 vs pos1	III	13783557	139.716308730875	13.9716308730875	13679460	13783557	III:13679460-13783557	104.097	TRUE
JU1793xJU2466	HT115g-POS1g	ht115 vs pos1	JU1793xJU2466 | ht115 vs pos1	IV	6418023	56.7000979266207	5.67000979266207	4691159	7592922	IV:4691159-7592922	2901.763	TRUE
JU1793xJU2466	HT115g-POS1g	ht115 vs pos1	JU1793xJU2466 | ht115 vs pos1	I	964967	14.4434181248204	1.44434181248204	623828	1151022	I:623828-1151022	527.194	TRUE
JU1793xJU2466	HT115g-POS1g	ht115 vs pos1	JU1793xJU2466 | ht115 vs pos1	X	6904461	9.35278886743548	0.935278886743548	6538129	7335691	X:6538129-7335691	797.562	TRUE
JU1793xJU2466	HT115g-POS1g	ht115 vs pos1	JU1793xJU2466 | ht115 vs pos1	II	15242948	7.21469967229924	0.721469967229924	15138920	15242948	II:15138920-15242948	104.028	TRUE
JU1793xJU2466	HT115g-POS1g	ht115 vs pos1	JU1793xJU2466 | ht115 vs pos1	V	14534981	5.50079307357239	0.550079307357239	14046505	14930441	V:14046505-14930441	883.936	TRUE
JU1793xJU2466	MIG6g-POS1g	mig6 vs pos1	JU1793xJU2466 | mig6 vs pos1	X	5955109	361.427266000544	36.1427266000544	5554409	7987415	X:5554409-7987415	2433.006	TRUE
JU1793xJU2466	MIG6g-POS1g	mig6 vs pos1	JU1793xJU2466 | mig6 vs pos1	III	644433	70.2087911260375	7.02087911260375	322302	968553	III:322302-968553	646.251	TRUE
JU1793xJU2466	MIG6g-POS1g	mig6 vs pos1	JU1793xJU2466 | mig6 vs pos1	V	1665116	39.5709605655503	3.95709605655503	1437127	1786512	V:1437127-1786512	349.385	TRUE
JU1793xJU2466	MIG6g-POS1g	mig6 vs pos1	JU1793xJU2466 | mig6 vs pos1	IV	3644934	17.5032821097865	1.75032821097865	3526403	3748200	IV:3526403-3748200	221.797	TRUE
JU1793xJU2466	MIG6g-POS1g	mig6 vs pos1	JU1793xJU2466 | mig6 vs pos1	I	7650855	16.5501052022681	1.65501052022681	6870033	8471837	I:6870033-8471837	1601.804	TRUE
JU1793xJU2466	MIG6g-POS1g	mig6 vs pos1	JU1793xJU2466 | mig6 vs pos1	II	11364085	15.5932656821912	1.55932656821912	10654104	12492283	II:10654104-12492283	1838.179	TRUE
