transcript	strand	start	end	wbgene	label	locus	cross	chrom	peak.bp	from	to
F56A8.3a.2	+	13261644	13261863	WBGene00010139	F56A8.3	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F56A8.3b.1	+	13261644	13261863	WBGene00010139	F56A8.3	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F56A8.3b.2	+	13261644	13261863	WBGene00010139	F56A8.3	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F56A8.3b.3	+	13261644	13261863	WBGene00010139	F56A8.3	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F56A8.3a.1	+	13261910	13262075	WBGene00010139	F56A8.3	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F56A8.3a.2	+	13261910	13262075	WBGene00010139	F56A8.3	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F56A8.3b.1	+	13261910	13262075	WBGene00010139	F56A8.3	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F56A8.3b.2	+	13261910	13262075	WBGene00010139	F56A8.3	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F56A8.3b.3	+	13261910	13262075	WBGene00010139	F56A8.3	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F56A8.3a.1	+	13262130	13262256	WBGene00010139	F56A8.3	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F56A8.3a.2	+	13262130	13262256	WBGene00010139	F56A8.3	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F56A8.3b.1	+	13262130	13262256	WBGene00010139	F56A8.3	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F56A8.3b.2	+	13262130	13262256	WBGene00010139	F56A8.3	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F56A8.3b.3	+	13262130	13262256	WBGene00010139	F56A8.3	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F56A8.3b.2	+	13262442	13262536	WBGene00010139	F56A8.3	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F56A8.3b.3	+	13262442	13262536	WBGene00010139	F56A8.3	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F56A8.3a.2	+	13262442	13262671	WBGene00010139	F56A8.3	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F56A8.3a.1	+	13262442	13262903	WBGene00010139	F56A8.3	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F56A8.3b.1	+	13262442	13262905	WBGene00010139	F56A8.3	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F56A8.3a.2	+	13262749	13262883	WBGene00010139	F56A8.3	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F56A8.4.1	+	13263287	13263386	WBGene00010140	F56A8.4	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F56A8.4.1	+	13263650	13264315	WBGene00010140	F56A8.4	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F56A8.4.1	+	13264829	13265038	WBGene00010140	F56A8.4	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F56A8.5.1	+	13265866	13265945	WBGene00010141	F56A8.5	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F56A8.5.2	+	13265871	13265945	WBGene00010141	F56A8.5	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F56A8.5.1	+	13265996	13266679	WBGene00010141	F56A8.5	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F56A8.5.2	+	13265996	13266679	WBGene00010141	F56A8.5	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F56A8.5.2	+	13266729	13266931	WBGene00010141	F56A8.5	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F56A8.5.1	+	13266729	13266932	WBGene00010141	F56A8.5	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F56A8.6.1	-	13266932	13267637	WBGene00000774	cpf-2	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F56A8.6.1	-	13268341	13268485	WBGene00000774	cpf-2	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F56A8.6.1	-	13268532	13268653	WBGene00000774	cpf-2	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F56A8.6.1	-	13268705	13268760	WBGene00000774	cpf-2	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F56A8.6.1	-	13268812	13268883	WBGene00000774	cpf-2	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F56A8.7a.2	+	13277258	13277382	WBGene00006798	unc-64	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F56A8.7b.1	+	13277259	13277382	WBGene00006798	unc-64	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F56A8.7a.1	+	13277261	13277382	WBGene00006798	unc-64	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F56A8.7a.1	+	13277428	13277527	WBGene00006798	unc-64	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F56A8.7a.2	+	13277428	13277527	WBGene00006798	unc-64	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F56A8.7b.1	+	13277428	13277527	WBGene00006798	unc-64	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F56A8.7a.1	+	13278567	13278666	WBGene00006798	unc-64	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F56A8.7a.2	+	13278567	13278666	WBGene00006798	unc-64	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F56A8.7b.1	+	13278567	13278666	WBGene00006798	unc-64	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F56A8.7a.1	+	13279235	13279489	WBGene00006798	unc-64	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F56A8.7a.2	+	13279235	13279489	WBGene00006798	unc-64	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F56A8.7b.1	+	13279235	13279489	WBGene00006798	unc-64	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F56A8.7a.1	+	13279873	13279967	WBGene00006798	unc-64	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F56A8.7a.2	+	13279873	13279967	WBGene00006798	unc-64	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F56A8.7b.1	+	13279873	13279967	WBGene00006798	unc-64	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F56A8.7a.1	+	13280217	13280333	WBGene00006798	unc-64	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F56A8.7a.2	+	13280217	13280333	WBGene00006798	unc-64	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F56A8.7b.1	+	13280217	13280333	WBGene00006798	unc-64	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F56A8.7a.1	+	13280547	13280657	WBGene00006798	unc-64	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F56A8.7a.2	+	13280547	13280657	WBGene00006798	unc-64	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F56A8.7b.1	+	13280547	13280657	WBGene00006798	unc-64	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F56A8.7a.1	+	13282224	13282340	WBGene00006798	unc-64	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F56A8.7a.2	+	13282224	13283887	WBGene00006798	unc-64	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F56A8.7b.1	+	13283787	13283887	WBGene00006798	unc-64	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
Y43F4B.3.1	-	13283824	13284508	WBGene00012802	set-25	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F56A8.8.1	+	13285721	13286422	WBGene00010142	F56A8.8	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F56A8.8.1	+	13286478	13286655	WBGene00010142	F56A8.8	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
Y43F4B.3.1	-	13286958	13287155	WBGene00012802	set-25	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
Y43F4B.3.1	-	13288244	13288680	WBGene00012802	set-25	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
Y43F4B.3.1	-	13289036	13289191	WBGene00012802	set-25	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
Y43F4B.3.1	-	13289496	13289885	WBGene00012802	set-25	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
Y43F4B.3.1	-	13291032	13291305	WBGene00012802	set-25	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
Y43F4B.3.1	-	13292378	13292848	WBGene00012802	set-25	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
Y43F4B.3.1	-	13292902	13293090	WBGene00012802	set-25	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
Y43F4B.4.1	+	13296853	13296922	WBGene00003804	npp-18	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
Y43F4B.4.1	+	13296978	13297088	WBGene00003804	npp-18	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
Y43F4B.4.1	+	13297134	13297195	WBGene00003804	npp-18	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
Y43F4B.4.1	+	13297247	13297314	WBGene00003804	npp-18	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
Y43F4B.4.1	+	13297365	13297752	WBGene00003804	npp-18	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
Y43F4B.4.1	+	13298340	13298596	WBGene00003804	npp-18	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
Y43F4B.4.1	+	13298647	13298993	WBGene00003804	npp-18	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
Y43F4B.5a.1	+	13299378	13299538	WBGene00012803	Y43F4B.5	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
Y43F4B.5b.1	+	13299379	13299538	WBGene00012803	Y43F4B.5	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
Y43F4B.5a.1	+	13300217	13300563	WBGene00012803	Y43F4B.5	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
Y43F4B.5b.1	+	13300217	13300563	WBGene00012803	Y43F4B.5	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
Y43F4B.5a.1	+	13300630	13300796	WBGene00012803	Y43F4B.5	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
Y43F4B.5b.1	+	13300630	13300796	WBGene00012803	Y43F4B.5	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
Y43F4B.5a.1	+	13300854	13301147	WBGene00012803	Y43F4B.5	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
Y43F4B.5b.1	+	13300854	13301147	WBGene00012803	Y43F4B.5	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
Y43F4B.5a.1	+	13301216	13301379	WBGene00012803	Y43F4B.5	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
Y43F4B.5b.1	+	13301977	13302674	WBGene00012803	Y43F4B.5	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
Y43F4B.5a.1	+	13301977	13302760	WBGene00012803	Y43F4B.5	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
Y43F4B.6.1	-	13302717	13303276	WBGene00002229	klp-19	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
Y43F4B.6.1	-	13303667	13303869	WBGene00002229	klp-19	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
Y43F4B.6.1	-	13303920	13304471	WBGene00002229	klp-19	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
Y43F4B.6.1	-	13304793	13304933	WBGene00002229	klp-19	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
Y43F4B.6.1	-	13304983	13305858	WBGene00002229	klp-19	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
Y43F4B.6.1	-	13305916	13307028	WBGene00002229	klp-19	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
Y43F4B.6.1	-	13307082	13307259	WBGene00002229	klp-19	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
Y43F4B.7.1	+	13307502	13307666	WBGene00012804	slc-36.1	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
Y43F4B.7.1	+	13307731	13307811	WBGene00012804	slc-36.1	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
Y43F4B.7.1	+	13307869	13307957	WBGene00012804	slc-36.1	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
Y43F4B.7.1	+	13308709	13308801	WBGene00012804	slc-36.1	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
Y43F4B.7.1	+	13308850	13308934	WBGene00012804	slc-36.1	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
Y43F4B.7.1	+	13308986	13309163	WBGene00012804	slc-36.1	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
Y43F4B.7.1	+	13309495	13309592	WBGene00012804	slc-36.1	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
Y43F4B.7.1	+	13309728	13309843	WBGene00012804	slc-36.1	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
Y43F4B.7.1	+	13310656	13310715	WBGene00012804	slc-36.1	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
Y43F4B.7.1	+	13312098	13312203	WBGene00012804	slc-36.1	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
Y43F4B.7.1	+	13312256	13312319	WBGene00012804	slc-36.1	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
Y43F4B.7.1	+	13312846	13312952	WBGene00012804	slc-36.1	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
Y43F4B.7.1	+	13313019	13313389	WBGene00012804	slc-36.1	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
Y43F4B.10.1	+	13314068	13314125	WBGene00012807	Y43F4B.10	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
Y43F4B.10.1	+	13314186	13314328	WBGene00012807	Y43F4B.10	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
Y43F4B.10.1	+	13314438	13314721	WBGene00012807	Y43F4B.10	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
Y43F4B.9a.2	+	13315123	13315413	WBGene00012806	dph-7	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
Y43F4B.9a.1	+	13315125	13315413	WBGene00012806	dph-7	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
Y43F4B.9a.1	+	13315459	13315553	WBGene00012806	dph-7	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
Y43F4B.9a.2	+	13315459	13315553	WBGene00012806	dph-7	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
Y43F4B.9a.1	+	13317384	13317544	WBGene00012806	dph-7	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
Y43F4B.9a.2	+	13317384	13317544	WBGene00012806	dph-7	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
Y43F4B.9b.1	+	13317540	13317544	WBGene00012806	dph-7	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
Y43F4B.9a.1	+	13317712	13317886	WBGene00012806	dph-7	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
Y43F4B.9a.2	+	13317712	13317886	WBGene00012806	dph-7	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
Y43F4B.9b.1	+	13317712	13317886	WBGene00012806	dph-7	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
Y43F4B.9b.1	+	13318292	13318510	WBGene00012806	dph-7	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
Y43F4B.9a.1	+	13318292	13318597	WBGene00012806	dph-7	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
Y43F4B.9a.2	+	13318292	13318603	WBGene00012806	dph-7	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F53A2.11.1	-	13319059	13320060	WBGene00194870	F53A2.11	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F53A2.11.1	-	13320756	13320921	WBGene00194870	F53A2.11	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F53A2.11.1	-	13320970	13321091	WBGene00194870	F53A2.11	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F53A2.11.1	-	13321135	13321301	WBGene00194870	F53A2.11	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F53A2.11.1	-	13321736	13321834	WBGene00194870	F53A2.11	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F53A2.11.1	-	13321881	13322678	WBGene00194870	F53A2.11	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F53A2.1.1	-	13322206	13322817	WBGene00009949	F53A2.1	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F53A2.1.1	-	13323158	13323227	WBGene00009949	F53A2.1	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F53A2.1.1	-	13323353	13323497	WBGene00009949	F53A2.1	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F53A2.1.1	-	13323569	13323684	WBGene00009949	F53A2.1	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F53A2.1.1	-	13324271	13324353	WBGene00009949	F53A2.1	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F53A2.1.1	-	13324429	13324839	WBGene00009949	F53A2.1	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F53A2.2.1	+	13334054	13334878	WBGene00009950	sdz-20	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F53A2.2.1	+	13335326	13335474	WBGene00009950	sdz-20	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F53A2.2.1	+	13336020	13336627	WBGene00009950	sdz-20	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F53A2.3.1	-	13336929	13337128	WBGene00009951	F53A2.3	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F53A2.3.1	-	13337218	13337411	WBGene00009951	F53A2.3	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F53A2.3.1	-	13338130	13338357	WBGene00009951	F53A2.3	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F53A2.3.1	-	13338414	13338539	WBGene00009951	F53A2.3	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F53A2.3.1	-	13338724	13338890	WBGene00009951	F53A2.3	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F53A2.3.1	-	13338946	13339035	WBGene00009951	F53A2.3	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F53A2.3.1	-	13339679	13339772	WBGene00009951	F53A2.3	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F53A2.4.1	+	13341527	13341633	WBGene00003829	nud-1	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F53A2.4.1	+	13341681	13342608	WBGene00003829	nud-1	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F53A2.5.1	+	13342684	13343100	WBGene00001092	dro-1	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F53A2.5.1	+	13343183	13343712	WBGene00001092	dro-1	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F53A2.6a.1	+	13343417	13343662	WBGene00002059	ife-1	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F53A2.6a.1	+	13343824	13344289	WBGene00002059	ife-1	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F53A2.6b.1	+	13343824	13344289	WBGene00002059	ife-1	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F53A2.6b.1	+	13344336	13344610	WBGene00002059	ife-1	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F53A2.6a.1	+	13344336	13344618	WBGene00002059	ife-1	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F53A2.7.1	+	13344937	13344971	WBGene00009952	acaa-2	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F53A2.7.1	+	13345042	13345194	WBGene00009952	acaa-2	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F53A2.7.1	+	13345245	13346026	WBGene00009952	acaa-2	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F53A2.7.1	+	13346397	13346551	WBGene00009952	acaa-2	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F53A2.7.1	+	13346608	13346860	WBGene00009952	acaa-2	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F53A2.8a.1	+	13347085	13347134	WBGene00003478	mtm-6	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F53A2.8c.1	+	13347085	13347134	WBGene00003478	mtm-6	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
F53A2.8b.1	+	13351393	13351757	WBGene00003478	mtm-6	N2xXZ1516 III:13.31 Mb	N2xXZ1516	III	13305359	13255359	13355359
