wbgene	locus	sequence.name	biotype	strand	start	end	label	cross	chrom	peak.bp	from	to
WBGene00012804	N2xXZ1516 III:13.31 Mb	Y43F4B.7	protein_coding	+	13307502	13313389	slc-36.1	N2xXZ1516	III	13305359	13255359	13355359
WBGene00012807	N2xXZ1516 III:13.31 Mb	Y43F4B.10	protein_coding	+	13314068	13314721	Y43F4B.10	N2xXZ1516	III	13305359	13255359	13355359
WBGene00012806	N2xXZ1516 III:13.31 Mb	Y43F4B.9	protein_coding	+	13315123	13318603	dph-7	N2xXZ1516	III	13305359	13255359	13355359
WBGene00194870	N2xXZ1516 III:13.31 Mb	F53A2.11	protein_coding	-	13319059	13322678	F53A2.11	N2xXZ1516	III	13305359	13255359	13355359
WBGene00009949	N2xXZ1516 III:13.31 Mb	F53A2.1	protein_coding	-	13322206	13324839	F53A2.1	N2xXZ1516	III	13305359	13255359	13355359
WBGene00009950	N2xXZ1516 III:13.31 Mb	F53A2.2	protein_coding	+	13334054	13336627	sdz-20	N2xXZ1516	III	13305359	13255359	13355359
WBGene00009951	N2xXZ1516 III:13.31 Mb	F53A2.3	protein_coding	-	13336929	13339772	F53A2.3	N2xXZ1516	III	13305359	13255359	13355359
WBGene00003829	N2xXZ1516 III:13.31 Mb	F53A2.4	protein_coding	+	13341527	13342608	nud-1	N2xXZ1516	III	13305359	13255359	13355359
WBGene00001092	N2xXZ1516 III:13.31 Mb	F53A2.5	protein_coding	+	13342684	13343712	dro-1	N2xXZ1516	III	13305359	13255359	13355359
WBGene00002059	N2xXZ1516 III:13.31 Mb	F53A2.6	protein_coding	+	13343417	13344618	ife-1	N2xXZ1516	III	13305359	13255359	13355359
WBGene00009952	N2xXZ1516 III:13.31 Mb	F53A2.7	protein_coding	+	13344937	13346860	acaa-2	N2xXZ1516	III	13305359	13255359	13355359
WBGene00003478	N2xXZ1516 III:13.31 Mb	F53A2.8	protein_coding	+	13347085	13355684	mtm-6	N2xXZ1516	III	13305359	13255359	13355359
WBGene00012117	N2xXZ1516 V:10.76 Mb	T28B11.1	protein_coding	-	10712160	10732422	T28B11.1	N2xXZ1516	V	10764743	10714743	10814743
WBGene00200762	N2xXZ1516 V:10.76 Mb	T28B11.19	misc_RNA	+	10715344	10715493	T28B11.19	N2xXZ1516	V	10764743	10714743	10814743
WBGene00200160	N2xXZ1516 V:10.76 Mb	T28B11.17	misc_RNA	-	10715346	10715495	T28B11.17	N2xXZ1516	V	10764743	10714743	10814743
WBGene00200347	N2xXZ1516 V:10.76 Mb	T28B11.18	misc_RNA	+	10715875	10716225	T28B11.18	N2xXZ1516	V	10764743	10714743	10814743
WBGene00195748	N2xXZ1516 V:10.76 Mb	T28B11.4	misc_RNA	-	10715877	10716160	T28B11.4	N2xXZ1516	V	10764743	10714743	10814743
WBGene00198804	N2xXZ1516 V:10.76 Mb	T28B11.14	misc_RNA	+	10716912	10717478	T28B11.14	N2xXZ1516	V	10764743	10714743	10814743
WBGene00201401	N2xXZ1516 V:10.76 Mb	T28B11.22	misc_RNA	-	10716914	10717262	T28B11.22	N2xXZ1516	V	10764743	10714743	10814743
WBGene00196176	N2xXZ1516 V:10.76 Mb	T28B11.7	misc_RNA	-	10717331	10717628	T28B11.7	N2xXZ1516	V	10764743	10714743	10814743
WBGene00197493	N2xXZ1516 V:10.76 Mb	T28B11.11	misc_RNA	-	10718461	10718597	T28B11.11	N2xXZ1516	V	10764743	10714743	10814743
WBGene00201919	N2xXZ1516 V:10.76 Mb	T28B11.24	misc_RNA	+	10719561	10719704	T28B11.24	N2xXZ1516	V	10764743	10714743	10814743
WBGene00198793	N2xXZ1516 V:10.76 Mb	T28B11.13	misc_RNA	-	10719563	10719706	T28B11.13	N2xXZ1516	V	10764743	10714743	10814743
WBGene00197769	N2xXZ1516 V:10.76 Mb	T28B11.12	misc_RNA	+	10720539	10720733	T28B11.12	N2xXZ1516	V	10764743	10714743	10814743
WBGene00196735	N2xXZ1516 V:10.76 Mb	T28B11.10	misc_RNA	+	10721144	10721427	T28B11.10	N2xXZ1516	V	10764743	10714743	10814743
WBGene00195733	N2xXZ1516 V:10.76 Mb	T28B11.3	misc_RNA	-	10721429	10721578	T28B11.3	N2xXZ1516	V	10764743	10714743	10814743
WBGene00196660	N2xXZ1516 V:10.76 Mb	T28B11.9	misc_RNA	-	10722703	10722844	T28B11.9	N2xXZ1516	V	10764743	10714743	10814743
WBGene00195881	N2xXZ1516 V:10.76 Mb	T28B11.6	misc_RNA	+	10722912	10723038	T28B11.6	N2xXZ1516	V	10764743	10714743	10814743
WBGene00201874	N2xXZ1516 V:10.76 Mb	T28B11.23	misc_RNA	-	10722915	10723043	T28B11.23	N2xXZ1516	V	10764743	10714743	10814743
WBGene00201002	N2xXZ1516 V:10.76 Mb	T28B11.21	misc_RNA	+	10723098	10723389	T28B11.21	N2xXZ1516	V	10764743	10714743	10814743
WBGene00199795	N2xXZ1516 V:10.76 Mb	T28B11.16	misc_RNA	-	10723173	10723536	T28B11.16	N2xXZ1516	V	10764743	10714743	10814743
WBGene00198878	N2xXZ1516 V:10.76 Mb	T28B11.15	misc_RNA	+	10723823	10723943	T28B11.15	N2xXZ1516	V	10764743	10714743	10814743
WBGene00195547	N2xXZ1516 V:10.76 Mb	T28B11.2	misc_RNA	+	10724007	10724149	T28B11.2	N2xXZ1516	V	10764743	10714743	10814743
WBGene00196501	N2xXZ1516 V:10.76 Mb	T28B11.8	misc_RNA	-	10724632	10724977	T28B11.8	N2xXZ1516	V	10764743	10714743	10814743
WBGene00202074	N2xXZ1516 V:10.76 Mb	T28B11.25	misc_RNA	+	10724770	10725038	T28B11.25	N2xXZ1516	V	10764743	10714743	10814743
WBGene00195832	N2xXZ1516 V:10.76 Mb	T28B11.5	misc_RNA	-	10726253	10726469	T28B11.5	N2xXZ1516	V	10764743	10714743	10814743
WBGene00200830	N2xXZ1516 V:10.76 Mb	T28B11.20	misc_RNA	-	10727135	10727413	T28B11.20	N2xXZ1516	V	10764743	10714743	10814743
WBGene00003405	N2xXZ1516 V:10.76 Mb	ZC302.1	protein_coding	-	10733925	10736868	mre-11	N2xXZ1516	V	10764743	10714743	10814743
WBGene00013862	N2xXZ1516 V:10.76 Mb	ZC302.2	protein_coding	+	10737116	10739350	wdr-5.3	N2xXZ1516	V	10764743	10714743	10814743
WBGene00013863	N2xXZ1516 V:10.76 Mb	ZC302.3	protein_coding	-	10739274	10741457	ZC302.3	N2xXZ1516	V	10764743	10714743	10814743
WBGene00005610	N2xXZ1516 V:10.76 Mb	F28H7.1	protein_coding	-	10742423	10743749	srj-22	N2xXZ1516	V	10764743	10714743	10814743
WBGene00005609	N2xXZ1516 V:10.76 Mb	F28H7.11	protein_coding	+	10745334	10746543	srj-21	N2xXZ1516	V	10764743	10714743	10814743
WBGene00009238	N2xXZ1516 V:10.76 Mb	F28H7.4	protein_coding	-	10746496	10747363	selt-1.2	N2xXZ1516	V	10764743	10714743	10814743
WBGene00009236	N2xXZ1516 V:10.76 Mb	F28H7.2	protein_coding	+	10747901	10749049	F28H7.2	N2xXZ1516	V	10764743	10714743	10814743
WBGene00009237	N2xXZ1516 V:10.76 Mb	F28H7.3	protein_coding	-	10749605	10750788	F28H7.3	N2xXZ1516	V	10764743	10714743	10814743
WBGene00009240	N2xXZ1516 V:10.76 Mb	F28H7.7	protein_coding	-	10750955	10754150	F28H7.7	N2xXZ1516	V	10764743	10714743	10814743
WBGene00009239	N2xXZ1516 V:10.76 Mb	F28H7.6	protein_coding	-	10754404	10756798	irld-6	N2xXZ1516	V	10764743	10714743	10814743
WBGene00009241	N2xXZ1516 V:10.76 Mb	F28H7.8	protein_coding	+	10758958	10760663	F28H7.8	N2xXZ1516	V	10764743	10714743	10814743
WBGene00009242	N2xXZ1516 V:10.76 Mb	F28H7.9	protein_coding	-	10760575	10762795	sre-6	N2xXZ1516	V	10764743	10714743	10814743
WBGene00003838	N2xXZ1516 V:10.76 Mb	F28H7.10	protein_coding	+	10764366	10768590	ocr-1	N2xXZ1516	V	10764743	10714743	10814743
WBGene00201875	N2xXZ1516 V:10.76 Mb	F28H7.12	misc_RNA	-	10766515	10766655	F28H7.12	N2xXZ1516	V	10764743	10714743	10814743
WBGene00008370	N2xXZ1516 V:10.76 Mb	D1054.1	protein_coding	-	10768463	10770217	D1054.1	N2xXZ1516	V	10764743	10714743	10814743
WBGene00003923	N2xXZ1516 V:10.76 Mb	D1054.2	protein_coding	+	10770368	10771351	pas-2	N2xXZ1516	V	10764743	10714743	10814743
WBGene00008371	N2xXZ1516 V:10.76 Mb	D1054.3	protein_coding	+	10771451	10772832	D1054.3	N2xXZ1516	V	10764743	10714743	10814743
WBGene00023430	N2xXZ1516 V:10.76 Mb	D1054.17	snoRNA	+	10772125	10772230	D1054.17	N2xXZ1516	V	10764743	10714743	10814743
WBGene00008372	N2xXZ1516 V:10.76 Mb	D1054.5	protein_coding	-	10772774	10776578	D1054.5	N2xXZ1516	V	10764743	10714743	10814743
WBGene00008373	N2xXZ1516 V:10.76 Mb	D1054.6	polymorphic_pseudogene	-	10778475	10780019	D1054.6	N2xXZ1516	V	10764743	10714743	10814743
WBGene00008374	N2xXZ1516 V:10.76 Mb	D1054.7	polymorphic_pseudogene	-	10781459	10783380	clec-220	N2xXZ1516	V	10764743	10714743	10814743
WBGene00008375	N2xXZ1516 V:10.76 Mb	D1054.8	protein_coding	+	10784311	10785367	D1054.8	N2xXZ1516	V	10764743	10714743	10814743
WBGene00008376	N2xXZ1516 V:10.76 Mb	D1054.9	protein_coding	-	10785786	10791057	D1054.9	N2xXZ1516	V	10764743	10714743	10814743
WBGene00198983	N2xXZ1516 V:10.76 Mb	D1054.21	misc_RNA	-	10790098	10790247	D1054.21	N2xXZ1516	V	10764743	10714743	10814743
WBGene00199844	N2xXZ1516 V:10.76 Mb	D1054.22	misc_RNA	+	10790126	10790275	D1054.22	N2xXZ1516	V	10764743	10714743	10814743
WBGene00197869	N2xXZ1516 V:10.76 Mb	D1054.20	misc_RNA	+	10791040	10791234	D1054.20	N2xXZ1516	V	10764743	10714743	10814743
WBGene00008377	N2xXZ1516 V:10.76 Mb	D1054.10	protein_coding	-	10791975	10792875	D1054.10	N2xXZ1516	V	10764743	10714743	10814743
WBGene00008378	N2xXZ1516 V:10.76 Mb	D1054.11	protein_coding	+	10793798	10794924	ule-3	N2xXZ1516	V	10764743	10714743	10814743
WBGene00194677	N2xXZ1516 V:10.76 Mb	D1054.19	protein_coding	+	10795794	10796817	D1054.19	N2xXZ1516	V	10764743	10714743	10814743
WBGene00005399	N2xXZ1516 V:10.76 Mb	D1054.12	protein_coding	-	10796799	10798190	srh-184	N2xXZ1516	V	10764743	10714743	10814743
WBGene00005379	N2xXZ1516 V:10.76 Mb	D1054.16	polymorphic_pseudogene	-	10798360	10799475	srh-163	N2xXZ1516	V	10764743	10714743	10814743
WBGene00077783	N2xXZ1516 V:10.76 Mb	D1054.18	protein_coding	-	10800725	10801198	D1054.18	N2xXZ1516	V	10764743	10714743	10814743
WBGene00219866	N2xXZ1516 V:10.76 Mb	D1054.23	misc_RNA	-	10800853	10801014	D1054.23	N2xXZ1516	V	10764743	10714743	10814743
WBGene00008379	N2xXZ1516 V:10.76 Mb	D1054.13	protein_coding	-	10802336	10804474	secs-1	N2xXZ1516	V	10764743	10714743	10814743
WBGene00008380	N2xXZ1516 V:10.76 Mb	D1054.14	protein_coding	-	10804721	10806034	prp-38	N2xXZ1516	V	10764743	10714743	10814743
WBGene00006481	N2xXZ1516 V:10.76 Mb	D1054.15	protein_coding	-	10806141	10807912	plrg-1	N2xXZ1516	V	10764743	10714743	10814743
WBGene00007798	N2xXZ1516 V:10.76 Mb	C29A12.2	polymorphic_pseudogene	-	10809191	10811076	C29A12.2	N2xXZ1516	V	10764743	10714743	10814743
WBGene00206498	N2xXZ1516 V:10.76 Mb	C29A12.22	protein_coding	+	10812063	10812344	C29A12.22	N2xXZ1516	V	10764743	10714743	10814743
WBGene00007797	N2xXZ1516 V:10.76 Mb	C29A12.1	protein_coding	-	10812339	10813487	C29A12.1	N2xXZ1516	V	10764743	10714743	10814743
WBGene00002985	N2xXZ1516 V:10.76 Mb	C29A12.3	protein_coding	+	10814106	10816718	lig-1	N2xXZ1516	V	10764743	10714743	10814743
WBGene00016466	JU1793xJU2466 X:7.15 Mb	C36B7.3	protein_coding	+	7101777	7102231	C36B7.3	JU1793xJU2466	X	7151301	7101301	7201301
WBGene00016465	JU1793xJU2466 X:7.15 Mb	C36B7.2	protein_coding	+	7106403	7108577	C36B7.2	JU1793xJU2466	X	7151301	7101301	7201301
WBGene00016464	JU1793xJU2466 X:7.15 Mb	C36B7.1	protein_coding	+	7112889	7114866	C36B7.1	JU1793xJU2466	X	7151301	7101301	7201301
WBGene00001841	JU1793xJU2466 X:7.15 Mb	C36B7.7	protein_coding	-	7116202	7116996	hen-1	JU1793xJU2466	X	7151301	7101301	7201301
WBGene00165415	JU1793xJU2466 X:7.15 Mb	C36B7.9	misc_RNA	-	7116843	7116863	21ur-13012	JU1793xJU2466	X	7151301	7101301	7201301
WBGene00002163	JU1793xJU2466 X:7.15 Mb	C54D1.3	protein_coding	+	7126648	7139666	ist-1	JU1793xJU2466	X	7151301	7101301	7201301
WBGene00196130	JU1793xJU2466 X:7.15 Mb	C54D1.8	misc_RNA	+	7132068	7132131	C54D1.8	JU1793xJU2466	X	7151301	7101301	7201301
WBGene00016912	JU1793xJU2466 X:7.15 Mb	C54D1.2	protein_coding	+	7139875	7140566	clec-86	JU1793xJU2466	X	7151301	7101301	7201301
WBGene00000116	JU1793xJU2466 X:7.15 Mb	C54D1.4	protein_coding	-	7140504	7143641	alh-10	JU1793xJU2466	X	7151301	7101301	7201301
WBGene00016913	JU1793xJU2466 X:7.15 Mb	C54D1.5	protein_coding	-	7143846	7151239	lam-2	JU1793xJU2466	X	7151301	7101301	7201301
WBGene00196884	JU1793xJU2466 X:7.15 Mb	C54D1.9	misc_RNA	+	7151458	7151745	C54D1.9	JU1793xJU2466	X	7151301	7101301	7201301
WBGene00016914	JU1793xJU2466 X:7.15 Mb	C54D1.7	protein_coding	-	7153889	7156035	C54D1.7	JU1793xJU2466	X	7151301	7101301	7201301
WBGene00197224	JU1793xJU2466 X:7.15 Mb	C54D1.10	misc_RNA	-	7158655	7158877	C54D1.10	JU1793xJU2466	X	7151301	7101301	7201301
WBGene00198803	JU1793xJU2466 X:7.15 Mb	C54D1.11	misc_RNA	+	7158741	7158888	C54D1.11	JU1793xJU2466	X	7151301	7101301	7201301
WBGene00004004	JU1793xJU2466 X:7.15 Mb	C54D1.1	protein_coding	+	7159036	7166021	pgp-10	JU1793xJU2466	X	7151301	7101301	7201301
WBGene00000238	JU1793xJU2466 X:7.15 Mb	C54D1.6	protein_coding	-	7166005	7170625	bar-1	JU1793xJU2466	X	7151301	7101301	7201301
WBGene00199227	JU1793xJU2466 X:7.15 Mb	F43E12.4	misc_RNA	-	7170852	7170987	F43E12.4	JU1793xJU2466	X	7151301	7101301	7201301
WBGene00199758	JU1793xJU2466 X:7.15 Mb	F43E12.5	misc_RNA	+	7170884	7171017	F43E12.5	JU1793xJU2466	X	7151301	7101301	7201301
WBGene00202197	JU1793xJU2466 X:7.15 Mb	F43E12.8	misc_RNA	+	7174074	7174205	F43E12.8	JU1793xJU2466	X	7151301	7101301	7201301
WBGene00201911	JU1793xJU2466 X:7.15 Mb	F43E12.7	misc_RNA	-	7174316	7174540	F43E12.7	JU1793xJU2466	X	7151301	7101301	7201301
WBGene00196883	JU1793xJU2466 X:7.15 Mb	F43E12.2	misc_RNA	+	7175593	7175738	F43E12.2	JU1793xJU2466	X	7151301	7101301	7201301
WBGene00197922	JU1793xJU2466 X:7.15 Mb	F43E12.3	misc_RNA	-	7175661	7175863	F43E12.3	JU1793xJU2466	X	7151301	7101301	7201301
WBGene00200329	JU1793xJU2466 X:7.15 Mb	F43E12.6	misc_RNA	-	7176000	7176187	F43E12.6	JU1793xJU2466	X	7151301	7101301	7201301
WBGene00023048	JU1793xJU2466 X:7.15 Mb	F43E12.t1	misc_RNA	-	7176983	7177054	F43E12.t1	JU1793xJU2466	X	7151301	7101301	7201301
WBGene00044577	JU1793xJU2466 X:7.15 Mb	F43E12.1	protein_coding	+	7177641	7177942	F43E12.1	JU1793xJU2466	X	7151301	7101301	7201301
WBGene00219251	JU1793xJU2466 X:7.15 Mb	C55B6.8	miRNA	-	7185347	7185429	mir-4811	JU1793xJU2466	X	7151301	7101301	7201301
WBGene00016940	JU1793xJU2466 X:7.15 Mb	C55B6.4	protein_coding	-	7187355	7187702	C55B6.4	JU1793xJU2466	X	7151301	7101301	7201301
WBGene00206379	JU1793xJU2466 X:7.15 Mb	C55B6.7	protein_coding	-	7191373	7191982	C55B6.7	JU1793xJU2466	X	7151301	7101301	7201301
WBGene00001025	JU1793xJU2466 X:7.15 Mb	C55B6.2	protein_coding	+	7194564	7198291	dnj-7	JU1793xJU2466	X	7151301	7101301	7201301
WBGene00199524	JU1793xJU2466 X:7.15 Mb	C55B6.6	misc_RNA	-	7200117	7200239	C55B6.6	JU1793xJU2466	X	7151301	7101301	7201301
WBGene00016939	JU1793xJU2466 X:7.15 Mb	C55B6.1	protein_coding	+	7200364	7204044	C55B6.1	JU1793xJU2466	X	7151301	7101301	7201301
WBGene00022163	N2xXZ1516 I:1.88 Mb	Y71G12B.28	polymorphic_pseudogene	+	1828079	1831929	Y71G12B.28	N2xXZ1516	I	1876106	1826106	1926106
WBGene00044746	N2xXZ1516 I:1.88 Mb	C53H9.3	protein_coding	-	1832167	1832421	C53H9.3	N2xXZ1516	I	1876106	1826106	1926106
WBGene00016907	N2xXZ1516 I:1.88 Mb	C53H9.2	protein_coding	+	1832897	1834763	C53H9.2	N2xXZ1516	I	1876106	1826106	1926106
WBGene00004441	N2xXZ1516 I:1.88 Mb	C53H9.1	protein_coding	+	1834883	1835438	rpl-27	N2xXZ1516	I	1876106	1826106	1926106
WBGene00001196	N2xXZ1516 I:1.88 Mb	M01D7.7	protein_coding	+	1835661	1841965	egl-30	N2xXZ1516	I	1876106	1826106	1926106
WBGene00303070	N2xXZ1516 I:1.88 Mb	C53H9.4	protein_coding	+	1835780	1835872	C53H9.4	N2xXZ1516	I	1876106	1826106	1926106
WBGene00202110	N2xXZ1516 I:1.88 Mb	M01D7.10	misc_RNA	-	1840679	1840745	M01D7.10	N2xXZ1516	I	1876106	1826106	1926106
WBGene00220027	N2xXZ1516 I:1.88 Mb	M01D7.11	misc_RNA	+	1841238	1841334	M01D7.11	N2xXZ1516	I	1876106	1826106	1926106
WBGene00001309	N2xXZ1516 I:1.88 Mb	M01D7.6	protein_coding	+	1842445	1843227	emr-1	N2xXZ1516	I	1876106	1826106	1926106
WBGene00003750	N2xXZ1516 I:1.88 Mb	M01D7.5	protein_coding	+	1843384	1843959	nlp-12	N2xXZ1516	I	1876106	1826106	1926106
WBGene00006461	N2xXZ1516 I:1.88 Mb	M01D7.4	protein_coding	+	1845200	1850523	tag-96	N2xXZ1516	I	1876106	1826106	1926106
WBGene00044897	N2xXZ1516 I:1.88 Mb	M01D7.9	protein_coding	-	1851669	1853045	M01D7.9	N2xXZ1516	I	1876106	1826106	1926106
WBGene00019706	N2xXZ1516 I:1.88 Mb	M01D7.1	polymorphic_pseudogene	-	1856459	1860578	M01D7.1	N2xXZ1516	I	1876106	1826106	1926106
WBGene00004743	N2xXZ1516 I:1.88 Mb	M01D7.2	protein_coding	-	1862607	1872306	scm-1	N2xXZ1516	I	1876106	1826106	1926106
WBGene00022139	N2xXZ1516 I:1.88 Mb	Y71G12A.3	protein_coding	+	1874008	1884196	tub-2	N2xXZ1516	I	1876106	1826106	1926106
WBGene00303094	N2xXZ1516 I:1.88 Mb	Y71G12A.5	protein_coding	+	1874110	1874139	Y71G12A.5	N2xXZ1516	I	1876106	1826106	1926106
WBGene00022140	N2xXZ1516 I:1.88 Mb	Y71G12A.4	protein_coding	-	1885161	1894910	Y71G12A.4	N2xXZ1516	I	1876106	1826106	1926106
WBGene00305881	N2xXZ1516 I:1.88 Mb	Y71G12A.6	misc_RNA	-	1892268	1892872	Y71G12A.6	N2xXZ1516	I	1876106	1826106	1926106
WBGene00022138	N2xXZ1516 I:1.88 Mb	Y71G12A.2	protein_coding	+	1895161	1923240	trpp-10	N2xXZ1516	I	1876106	1826106	1926106
WBGene00305882	N2xXZ1516 I:1.88 Mb	Y71G12A.7	misc_RNA	+	1899027	1902898	Y71G12A.7	N2xXZ1516	I	1876106	1826106	1926106
WBGene00021768	N2xXZ1516 I:1.88 Mb	Y51F10.7	protein_coding	-	1911684	1913935	Y51F10.7	N2xXZ1516	I	1876106	1826106	1926106
WBGene00219760	N2xXZ1516 I:1.88 Mb	Y51F10.14	antisense_RNA	-	1916942	1917064	anr-19	N2xXZ1516	I	1876106	1826106	1926106
WBGene00021766	N2xXZ1516 I:1.88 Mb	Y51F10.5	protein_coding	+	1924300	1932260	hex-4	N2xXZ1516	I	1876106	1826106	1926106
