source	proteome	species	strain	group	depth_rank	accession	percent_identity	query_coverage	evalue	is_ortholog
CGP	CSP08	Caenorhabditis sp8	DF5173	Caenorhabditis (CGP v2)	3	CSP08.g2846.t1	40.4	46	2.8e-21	TRUE
CGP	CSP41	Caenorhabditis sp41	BRC20276	Caenorhabditis (CGP v2)	3	CSP41.g21785.t1	40.1	97	1.67e-57	TRUE
CGP	CYUNQ	Caenorhabditis yunquensis	XZ1518	Caenorhabditis (CGP v2)	3	CYUNQ.g1822.t1	39.9	95	1.74e-52	TRUE
CGP	CSP56	Caenorhabditis sp56	JU2215	Caenorhabditis (CGP v2)	3	CSP56.g4670.t1	39.0	46	2.14e-20	TRUE
CGP	CSP24	Caenorhabditis sp24	QG555	Caenorhabditis (CGP v2)	3	CSP24.g7786.t1	38.4	46	5.78e-20	TRUE
CGP	CDROS	Caenorhabditis drosophilae	DF5077	Caenorhabditis (CGP v2)	3	CDROS.g7470.t1	38.0	48	2.57e-24	TRUE
CGP	CDOLE	Caenorhabditis dolens	NIC394	Caenorhabditis (CGP v2)	3	CDOLE.g6252.t1	37.7	46	3.97e-19	TRUE
CGP	CPLIC	Caenorhabditis plicata	SB355	Caenorhabditis (CGP v2)	3	CPLIC.g4090.t1	35.6	47	4.53e-12	TRUE
CGP	CSP27	Caenorhabditis sp27	ECA211	Caenorhabditis (CGP v2)	3	CSP27.g3101.t1	33.2	94	4.54e-31	TRUE
CGP	CVIRI	Caenorhabditis virilis	JU1968	Caenorhabditis (CGP v2)	3	CVIRI.g4487.t1	33.0	96	1.14e-29	TRUE
CGP	CPORT	Caenorhabditis portoensis	EG5626	Caenorhabditis (CGP v2)	3	CPORT.g619.t1	32.6	99	1.14e-26	TRUE
CGP	CSP02	Caenorhabditis sp2	DF5070	Caenorhabditis (CGP v2)	3	CSP02.g1087.t1	32.5	93	8.61e-31	TRUE
CGP	CSP30	Caenorhabditis sp30	DF5174	Caenorhabditis (CGP v2)	3	CSP30.g337.t1	31.1	99	6.86e-34	TRUE
CGP	CCAST	Caenorhabditis castelli	JU1956	Caenorhabditis (CGP v2)	3	CCAST.g7759.t1	30.4	87	7.7e-17	TRUE
CGP	CASTR	Caenorhabditis astrocarya	NIC1040	Caenorhabditis (CGP v2)	3	CASTR.g11858.t1	30.3	99	4.5e-24	TRUE
CGP	CAURI	Caenorhabditis auriculariae	NKZ352	Caenorhabditis (CGP v2)	3					FALSE
CGP	CMONO	Caenorhabditis monodelphis	JU1667	Caenorhabditis (CGP v2)	3					FALSE
