id	section	claim	drafted	computed	verdict	source
C2	Pooled + cross	pos-1 response maps to III:12,353,680, -log10p = 7.04, allele frequency 0.11	III:12,353,680 / 7.04 / 0.11	III:12,353,680, -log10p = 7.04, af = 0.107	MATCH	bundle $gwas_sig
C4	Pooled + cross	mig-6 response maps to V:14,647,434, -log10p = 7.71, allele frequency 0.13	V:14,647,434 / 7.71 / 0.13	V:14,647,434, -log10p = 7.71, af = 0.131	MATCH	bundle $gwas_sig
C5	Pooled + cross	novel mig-6-specific QTL on chromosome I in the XZ1516 cross, LOD = 751.1, beta = 0.391	LOD 751.1, beta 0.391	chrI peak 1,876,106, LOD = 751.1, contrast.beta = 0.391	MATCH	bundle $ivs + $scans
C6	Pooled + cross	novel mig-6-specific QTL on chromosome X in the JU1793 cross, LOD = 361.4, beta = 0.713	LOD 361.4, beta 0.713	chrX peak 5,955,109, LOD = 361.4, contrast.beta = 0.713	MATCH	bundle $ivs + $scans
C7	Pooled + cross	JU1793 was resistant to both mig-6 and pos-1 RNAi	resistant to both	JU1793 ranks 2 of 84 on pos-1 and 1 of 84 on mig-6 (rank 1 = most resistant)	MATCH	pooled_vst_traits.csv.gz
C8	Pooled + cross	JU2466 was sensitive to pos-1 RNAi and had an average mig-6 response	pos-1 sensitive, mig-6 average	JU2466 ranks 80 of 84 on pos-1 (sensitive end) and 38 of 84 on mig-6 (mid-panel)	MATCH	pooled_vst_traits.csv.gz
C9	Pooled + cross	XZ1516 had among the strongest responses to both RNAi conditions	strongest responses to both	XZ1516 is the most sensitive strain on pos-1 and ranks 83 of 84 on mig-6 (2nd most sensitive)	MATCH	pooled_vst_traits.csv.gz
N2a	NIL / sid-2	27 variants distinguish the parents in the interval	27	27	MATCH	nil_interval_parent_variants.tsv
N2b	NIL / sid-2	three synonymous variants	3	3	MATCH	nil_interval_parent_variants.tsv consequence
N2c	NIL / sid-2	two missense variants in sid-2, V5L and T96K	2 (V5L, T96K)	2 missense: sid-2 5V>5L; sid-2 96T>96K	MATCH	nil_interval_parent_variants.tsv
N2d	NIL / sid-2	remaining 22 are intergenic, intronic or in UTRs	22	22	MATCH	nil_interval_parent_variants.tsv
N1	NIL / sid-2	QTL localised to a 37 kb interval spanning 13.658-13.695 Mb	37 kb, 13.658-13.695	wSZ191 introgression 13.658-13.695 Mb = 37.3 kb	MATCH	nil_introgression_ranges.bed, wSZ191
N3	NIL / sid-2	96K into JU1793 lowers hatching from 94.8% to 53.1%	94.8% -> 53.1%	JU1793[96T] = 94.8% (n=213) -> wSZ200 JU1793[96K] = 53.1% (n=207)	MATCH	ju_allele_swaps_hatching.csv, pos-1 condition (Figure 4 panel B)
N4	NIL / sid-2	96T into JU2466 raises hatching from 4.5% to 18.4%	4.5% -> 18.4%	JU2466_A[96K] = 5.4% (n=204) -> wSZ206 JU2466[96T] = 18.4% (n=217); the second JU2466 line JU2466_B[96K] = 3.7%	MISMATCH	ju_allele_swaps_hatching.csv, pos-1 condition (Figure 4 panel B)
N6	NIL / sid-2	at lowered pos-1 dose the 96K allele lowers N2 hatching from 32.3% to 4%	32.3% -> 4%	at 25% pos-1: N2[96K] = 4.0% (n=568); N2[96T] = 32.3% (n=220). Per line: N2 32.3% (n=220); wSZ203 4.4% (n=273); wSZ204 3.7% (n=295)	MATCH	n2_allele_swaps_hatching.tsv, condition 25
N6b	NIL / sid-2	(draft context) at the standard 50:50 dose the 96K allele makes no difference	no difference at 50:50	dose 0 N2[96K] = 99.2% (n=490); dose 0 N2[96T] = 98.5% (n=206); dose 25 N2[96K] = 4.0% (n=568); dose 25 N2[96T] = 32.3% (n=220); dose 50 N2[96K] = 3.4% (n=595); dose 50 N2[96T] = 6.0% (n=217); dose 75 N2[96K] = 2.7% (n=527); dose 75 N2[96T] = 3.4% (n=236); dose 100 N2[96K] = 0.7% (n=450); dose 100 N2[96T] = 0.0% (n=236)	CHECK	n2_allele_swaps_hatching.tsv; SUPP_FIG_XX_n2_swap_dose.R reports Fisher p = 0.108 at dose 50
G1	Charge	T96 local net charge +1.24 e, 82nd percentile	+1.24 e, 82nd pct	q = 1.24 e, percentile = 82 (n = 168 ectodomain residues 21-188)	MATCH	sid2_local_charge.tsv
G3	Charge	96K shifts local charge to +2.24 e, 98th percentile	+2.24 e, 98th pct	q + 1 = 2.24 e, percentile = 98	MATCH	sid2_local_charge.tsv
G2	Charge	K93 and K132 lie 6.6 and 6.8 A from residue 96	6.6 and 6.8 A	K93 = 6.64 A; K132 = 6.78 A	MATCH	sid2_local_charge.tsv CA coordinates (agrees with sid2_membrane_oriented.pdb)
